,,davinci,davinci,td002,td002,td003,td003,gpt-3.5-turbo,gpt-3.5-turbo
benchmark,task ,original prompts avg.,all prompts avg,original prompts avg.,all prompts avg,original prompts avg.,all prompts avg,original prompts avg.,all prompts avg
lmentry,all words from category,0.5599999999999999,0.15149999999999997,0.7166666666666668,0.6085,0.8366666666666666,0.7925,0.6000000000000001,0.6185
lmentry,any words from category,0.5533333333333333,0.15500000000000003,0.63,0.6154999999999999,0.6533333333333333,0.5890000000000001,0.86,0.8194999999999999
lmentry,ends with word,0.10000000000000002,0.11100000000000003,0.30333333333333334,0.238,0.58,0.4169999999999999,0.5966666666666667,0.54
lmentry,first alphabetically,0.4566666666666666,0.12100000000000002,0.4833333333333334,0.273,0.7066666666666667,0.34950000000000003,0.9766666666666666,0.454
lmentry,homophones,0.47666666666666674,0.118,0.19000000000000003,0.5715,0.3833333333333333,0.5980000000000001,0.49000000000000005,0.7059999999999998
lmentry,less letters,0.41,0.169,0.6699999999999999,0.5120000000000002,0.7933333333333333,0.577,0.8766666666666666,0.5755
lmentry,more letters,0.46666666666666673,0.15500000000000003,0.6766666666666667,0.4905000000000001,0.82,0.512,0.8666666666666667,0.4999999999999999
lmentry,rhyming word,0.18666666666666668,0.13999999999999999,0.29,0.39249999999999996,0.5733333333333334,0.40800000000000003,0.69,0.7610000000000001
lmentry,word before,0.12000000000000001,0.0405,0.12666666666666668,0.15750000000000003,0.26666666666666666,0.5090000000000001,0.4033333333333333,0.46900000000000003
lmentry,word not containing ,0.028974358666666672,0.055769231,0.8461538463333333,0.5711538461538461,0.9743589746666667,0.8423076923076925,0.8974358976666666,0.8076923076923078
