paraphrase idx,falcon-7b-instruct_acc,mpt-7b-instruct_acc,flan-t5-xl_acc,flan-t5-xxl_acc,t0pp_acc,alpaca-13b_acc,airoboros-13b_acc,nous-hermes-13b_acc,ultralm-13b_acc,vicuna-13b_acc,minotaur-15b_acc
1,0.5,0.03,0.63,0.63,0.57,0.59,0.09,0.43,0.38,0.62,0.06
2,0.51,0.26,0.57,0.63,0.61,0.56,0.18,0.45,0.46,0.62,0.16
3,0.49,0.13,0.61,0.63,0.59,0.64,0.28,0.44,0.1,0.65,0.01
4,0.55,0.34,0.65,0.64,0.66,0.64,0.15,0.58,0.6,0.61,0.03
5,0.47,0.23,0.59,0.62,0.56,0.65,0.3,0.49,0.19,0.6,0.0
6,0.49,0.38,0.54,0.63,0.61,0.59,0.18,0.52,0.56,0.64,0.02
7,0.48,0.24,0.61,0.64,0.55,0.65,0.24,0.52,0.35,0.6,0.02
8,0.47,0.09,0.63,0.6,0.56,0.63,0.09,0.46,0.2,0.61,0.0
9,0.52,0.38,0.59,0.66,0.68,0.6,0.16,0.56,0.61,0.6,0.01
10,0.45,0.15,0.62,0.62,0.63,0.62,0.32,0.44,0.38,0.68,0.02
11,0.52,0.14,0.63,0.63,0.61,0.61,0.35,0.57,0.55,0.61,0.01
12,0.46,0.15,0.6,0.6,0.63,0.6,0.16,0.47,0.21,0.64,0.02
13,0.5,0.15,0.64,0.64,0.58,0.64,0.2,0.5,0.17,0.63,0.01
14,0.46,0.17,0.6,0.64,0.66,0.63,0.2,0.44,0.31,0.63,0.02
15,0.46,0.17,0.56,0.62,0.47,0.66,0.25,0.45,0.28,0.62,0.01
16,0.48,0.4,0.59,0.61,0.58,0.57,0.56,0.57,0.48,0.6,0.02
17,0.48,0.39,0.62,0.66,0.68,0.58,0.14,0.57,0.62,0.63,0.02
18,0.51,0.4,0.54,0.59,0.67,0.62,0.05,0.62,0.57,0.62,0.0
19,0.45,0.19,0.64,0.64,0.55,0.61,0.06,0.44,0.48,0.62,0.03
20,0.5,0.29,0.6,0.64,0.52,0.61,0.31,0.49,0.46,0.63,0.0
21,0.51,0.34,0.57,0.66,0.69,0.64,0.25,0.58,0.57,0.6,0.06
22,0.47,0.29,0.64,0.66,0.58,0.64,0.36,0.45,0.41,0.63,0.01
23,0.55,0.37,0.62,0.61,0.61,0.59,0.25,0.47,0.36,0.61,0.01
24,0.5,0.37,0.57,0.61,0.52,0.6,0.38,0.51,0.14,0.69,0.03
25,0.49,0.24,0.59,0.6,0.62,0.63,0.09,0.45,0.55,0.57,0.06
26,0.47,0.17,0.59,0.66,0.61,0.65,0.35,0.52,0.13,0.58,0.04
27,0.46,0.41,0.62,0.65,0.62,0.6,0.25,0.57,0.53,0.61,0.04
28,0.48,0.29,0.63,0.64,0.62,0.6,0.11,0.44,0.46,0.62,0.16
29,0.51,0.29,0.64,0.65,0.61,0.56,0.19,0.45,0.53,0.6,0.02
30,0.53,0.38,0.52,0.64,0.56,0.58,0.35,0.54,0.43,0.65,0.02
31,0.48,0.3,0.56,0.61,0.65,0.6,0.35,0.57,0.56,0.63,0.06
32,0.51,0.2,0.6,0.61,0.65,0.57,0.34,0.44,0.48,0.61,0.19
33,0.47,0.34,0.62,0.6,0.59,0.6,0.16,0.47,0.45,0.59,0.21
34,0.49,0.32,0.62,0.61,0.66,0.66,0.24,0.44,0.5,0.59,0.01
35,0.55,0.46,0.57,0.6,0.64,0.58,0.17,0.58,0.55,0.65,0.03
36,0.48,0.4,0.64,0.69,0.65,0.58,0.12,0.59,0.55,0.62,0.01
37,0.45,0.49,0.58,0.63,0.63,0.6,0.18,0.58,0.56,0.65,0.01
38,0.52,0.33,0.61,0.66,0.65,0.64,0.12,0.44,0.45,0.66,0.1
39,0.48,0.38,0.62,0.6,0.67,0.64,0.1,0.44,0.44,0.6,0.17
40,0.54,0.38,0.62,0.63,0.67,0.59,0.15,0.58,0.47,0.62,0.01
41,0.45,0.24,0.64,0.63,0.61,0.62,0.08,0.48,0.51,0.58,0.05
42,0.49,0.08,0.59,0.62,0.58,0.63,0.51,0.46,0.35,0.6,0.27
43,0.51,0.21,0.58,0.65,0.6,0.6,0.13,0.45,0.54,0.58,0.19
44,0.47,0.42,0.56,0.66,0.64,0.58,0.18,0.62,0.6,0.63,0.01
45,0.55,0.41,0.63,0.66,0.6,0.59,0.39,0.55,0.59,0.65,0.02
46,0.52,0.29,0.57,0.63,0.59,0.58,0.08,0.48,0.51,0.58,0.02
47,0.48,0.26,0.62,0.62,0.55,0.63,0.33,0.46,0.45,0.61,0.17
48,0.47,0.42,0.63,0.62,0.64,0.59,0.13,0.52,0.53,0.58,0.0
49,0.53,0.44,0.56,0.65,0.64,0.6,0.01,0.44,0.6,0.68,0.0
50,0.48,0.09,0.62,0.6,0.52,0.67,0.22,0.46,0.45,0.59,0.01
51,0.51,0.35,0.59,0.65,0.58,0.57,0.08,0.44,0.45,0.59,0.14
52,0.46,0.19,0.59,0.64,0.54,0.62,0.45,0.51,0.34,0.64,0.03
53,0.47,0.17,0.62,0.62,0.56,0.64,0.25,0.45,0.11,0.59,0.0
54,0.5,0.24,0.62,0.61,0.6,0.61,0.36,0.46,0.44,0.63,0.0
55,0.46,0.17,0.59,0.6,0.63,0.61,0.4,0.5,0.44,0.62,0.05
56,0.45,0.29,0.63,0.63,0.61,0.62,0.43,0.51,0.42,0.61,0.08
57,0.45,0.23,0.61,0.64,0.46,0.62,0.16,0.43,0.17,0.57,0.01
58,0.48,0.2,0.63,0.63,0.51,0.66,0.34,0.46,0.08,0.69,0.02
59,0.44,0.28,0.58,0.63,0.54,0.64,0.31,0.45,0.47,0.6,0.02
60,0.5,0.32,0.55,0.59,0.61,0.6,0.33,0.49,0.57,0.62,0.05
61,0.49,0.22,0.64,0.64,0.54,0.68,0.26,0.47,0.41,0.62,0.0
62,0.45,0.32,0.64,0.64,0.62,0.64,0.2,0.49,0.56,0.63,0.0
63,0.48,0.22,0.63,0.63,0.55,0.64,0.37,0.56,0.68,0.61,0.02
64,0.51,0.28,0.6,0.61,0.56,0.59,0.22,0.54,0.53,0.67,0.01
65,0.49,0.16,0.64,0.65,0.64,0.61,0.21,0.51,0.3,0.59,0.0
66,0.52,0.19,0.59,0.6,0.59,0.64,0.2,0.53,0.29,0.6,0.03
67,0.46,0.27,0.63,0.63,0.6,0.62,0.22,0.45,0.42,0.59,0.08
68,0.47,0.27,0.58,0.61,0.66,0.63,0.36,0.46,0.28,0.59,0.09
69,0.45,0.2,0.6,0.61,0.62,0.63,0.13,0.5,0.23,0.61,0.0
70,0.44,0.32,0.64,0.59,0.61,0.64,0.51,0.48,0.42,0.59,0.0
71,0.49,0.19,0.63,0.62,0.59,0.64,0.42,0.46,0.48,0.62,0.08
72,0.46,0.26,0.61,0.65,0.54,0.66,0.43,0.47,0.29,0.64,0.04
73,0.43,0.26,0.62,0.65,0.59,0.62,0.28,0.44,0.27,0.61,0.08
74,0.44,0.25,0.64,0.63,0.63,0.66,0.26,0.49,0.28,0.64,0.0
75,0.46,0.15,0.54,0.65,0.5,0.64,0.34,0.49,0.26,0.64,0.01
76,0.45,0.23,0.57,0.66,0.58,0.63,0.15,0.5,0.12,0.6,0.0
77,0.46,0.31,0.64,0.63,0.54,0.62,0.11,0.48,0.34,0.64,0.0
78,0.48,0.23,0.56,0.62,0.6,0.64,0.03,0.46,0.37,0.61,0.0
79,0.45,0.26,0.63,0.61,0.62,0.63,0.14,0.51,0.37,0.63,0.0
80,0.47,0.22,0.64,0.64,0.62,0.63,0.12,0.47,0.42,0.62,0.0
81,0.45,0.19,0.6,0.64,0.59,0.63,0.15,0.44,0.32,0.65,0.0
82,0.47,0.21,0.65,0.66,0.61,0.63,0.08,0.48,0.47,0.64,0.0
83,0.46,0.21,0.62,0.63,0.69,0.65,0.14,0.44,0.44,0.64,0.0
84,0.48,0.19,0.58,0.62,0.56,0.67,0.21,0.45,0.44,0.63,0.02
85,0.47,0.4,0.64,0.59,0.6,0.62,0.23,0.48,0.43,0.62,0.0
86,0.5,0.36,0.66,0.59,0.64,0.65,0.2,0.47,0.45,0.64,0.0
87,0.47,0.29,0.64,0.64,0.65,0.61,0.34,0.52,0.47,0.59,0.0
88,0.47,0.13,0.63,0.63,0.62,0.71,0.06,0.44,0.34,0.68,0.0
89,0.46,0.18,0.57,0.6,0.64,0.64,0.13,0.45,0.42,0.66,0.0
90,0.46,0.28,0.59,0.61,0.65,0.64,0.23,0.47,0.43,0.63,0.04
91,0.46,0.19,0.59,0.62,0.57,0.64,0.12,0.45,0.42,0.67,0.0
92,0.49,0.23,0.57,0.63,0.64,0.62,0.3,0.46,0.46,0.6,0.0
93,0.46,0.23,0.64,0.64,0.58,0.62,0.36,0.48,0.41,0.6,0.11
94,0.46,0.23,0.61,0.63,0.54,0.6,0.24,0.47,0.26,0.57,0.05
95,0.49,0.28,0.64,0.63,0.59,0.61,0.27,0.61,0.44,0.64,0.01
96,0.44,0.26,0.61,0.59,0.64,0.63,0.33,0.45,0.56,0.61,0.01
97,0.45,0.19,0.61,0.63,0.58,0.57,0.31,0.48,0.42,0.61,0.06
98,0.47,0.17,0.62,0.63,0.6,0.62,0.37,0.49,0.46,0.61,0.06
99,0.51,0.37,0.58,0.58,0.64,0.6,0.24,0.52,0.61,0.65,0.01
100,0.49,0.23,0.65,0.63,0.58,0.6,0.23,0.55,0.58,0.63,0.02
101,0.47,0.34,0.61,0.66,0.62,0.55,0.27,0.54,0.6,0.61,0.04
102,0.53,0.3,0.63,0.67,0.64,0.62,0.34,0.53,0.52,0.61,0.0
103,0.58,0.28,0.6,0.63,0.6,0.59,0.51,0.48,0.5,0.61,0.01
104,0.42,0.22,0.57,0.62,0.67,0.63,0.11,0.47,0.48,0.6,0.0
105,0.46,0.19,0.61,0.62,0.61,0.62,0.36,0.52,0.42,0.62,0.0
106,0.49,0.29,0.59,0.61,0.61,0.62,0.45,0.48,0.46,0.63,0.03
107,0.57,0.22,0.56,0.59,0.57,0.59,0.39,0.5,0.53,0.6,0.0
108,0.49,0.19,0.6,0.64,0.58,0.65,0.41,0.51,0.42,0.61,0.05
109,0.47,0.18,0.62,0.63,0.64,0.65,0.24,0.44,0.29,0.58,0.01
110,0.48,0.36,0.62,0.64,0.58,0.67,0.35,0.47,0.27,0.65,0.08
111,0.52,0.19,0.61,0.6,0.58,0.67,0.4,0.46,0.29,0.63,0.09
112,0.49,0.4,0.6,0.62,0.63,0.61,0.05,0.5,0.45,0.6,0.01
113,0.47,0.46,0.59,0.62,0.62,0.59,0.13,0.53,0.4,0.61,0.03
