paraphrase idx,falcon-7b-instruct_acc,mpt-7b-instruct_acc,flan-t5-xl_acc,flan-t5-xxl_acc,t0pp_acc,alpaca-13b_acc,airoboros-13b_acc,nous-hermes-13b_acc,ultralm-13b_acc,vicuna-13b_acc,minotaur-15b_acc
1,0.09,0.09,0.25,0.34,0.22,0.12,0.35,0.02,0.0,0.31,0.02
2,0.15,0.09,0.27,0.37,0.22,0.12,0.32,0.25,0.0,0.32,0.04
3,0.12,0.04,0.25,0.35,0.2,0.12,0.27,0.29,0.0,0.37,0.07
4,0.13,0.09,0.29,0.35,0.2,0.12,0.33,0.15,0.0,0.37,0.05
5,0.09,0.07,0.18,0.38,0.22,0.12,0.29,0.09,0.0,0.32,0.02
6,0.06,0.1,0.23,0.33,0.2,0.12,0.3,0.25,0.0,0.33,0.05
7,0.13,0.03,0.27,0.34,0.19,0.12,0.31,0.13,0.0,0.36,0.05
8,0.08,0.12,0.23,0.35,0.19,0.12,0.3,0.27,0.0,0.35,0.08
9,0.09,0.07,0.24,0.36,0.12,0.12,0.36,0.02,0.0,0.34,0.04
10,0.03,0.07,0.29,0.36,0.1,0.12,0.28,0.0,0.0,0.32,0.03
11,0.08,0.09,0.23,0.36,0.25,0.12,0.33,0.13,0.0,0.29,0.07
12,0.1,0.09,0.31,0.36,0.19,0.13,0.3,0.29,0.0,0.32,0.05
13,0.06,0.07,0.21,0.36,0.19,0.12,0.32,0.05,0.0,0.31,0.05
14,0.11,0.09,0.31,0.37,0.19,0.12,0.29,0.18,0.0,0.34,0.06
15,0.02,0.12,0.17,0.29,0.2,0.12,0.32,0.12,0.0,0.33,0.03
16,0.1,0.1,0.27,0.35,0.2,0.12,0.3,0.16,0.0,0.35,0.02
17,0.05,0.08,0.19,0.27,0.21,0.12,0.35,0.14,0.0,0.28,0.08
18,0.04,0.11,0.26,0.37,0.19,0.13,0.32,0.21,0.0,0.35,0.08
19,0.09,0.09,0.26,0.38,0.11,0.12,0.28,0.05,0.0,0.31,0.01
20,0.1,0.1,0.31,0.39,0.14,0.12,0.25,0.05,0.0,0.35,0.03
21,0.11,0.09,0.25,0.37,0.22,0.12,0.29,0.25,0.0,0.38,0.09
