paraphrase idx,falcon-7b-instruct_acc,mpt-7b-instruct_acc,flan-t5-xl_acc,flan-t5-xxl_acc,t0pp_acc,alpaca-13b_acc,airoboros-13b_acc,nous-hermes-13b_acc,ultralm-13b_acc,vicuna-13b_acc,minotaur-15b_acc
1,0.27,0.07,0.43,0.46,0.24,0.3,0.39,0.19,0.11,0.35,0.09
2,0.24,0.06,0.31,0.44,0.24,0.25,0.31,0.1,0.03,0.27,0.06
3,0.21,0.16,0.36,0.47,0.22,0.31,0.29,0.12,0.17,0.34,0.04
4,0.24,0.11,0.37,0.45,0.19,0.3,0.33,0.08,0.23,0.34,0.07
5,0.2,0.24,0.38,0.53,0.23,0.3,0.22,0.09,0.21,0.31,0.03
6,0.24,0.13,0.37,0.45,0.24,0.28,0.34,0.15,0.23,0.33,0.02
7,0.25,0.14,0.39,0.49,0.19,0.3,0.3,0.21,0.26,0.33,0.07
8,0.23,0.14,0.37,0.45,0.2,0.33,0.31,0.15,0.22,0.34,0.06
9,0.22,0.15,0.37,0.5,0.25,0.32,0.32,0.18,0.12,0.36,0.07
10,0.24,0.25,0.37,0.49,0.2,0.32,0.34,0.2,0.23,0.4,0.09
11,0.21,0.13,0.4,0.47,0.2,0.25,0.35,0.15,0.22,0.32,0.04
12,0.21,0.1,0.38,0.46,0.22,0.27,0.23,0.12,0.2,0.38,0.04
13,0.25,0.1,0.3,0.46,0.25,0.3,0.28,0.13,0.08,0.39,0.06
14,0.22,0.19,0.36,0.44,0.2,0.3,0.4,0.17,0.07,0.36,0.07
15,0.17,0.13,0.42,0.46,0.22,0.27,0.37,0.12,0.22,0.36,0.08
16,0.22,0.14,0.35,0.37,0.21,0.25,0.27,0.02,0.05,0.24,0.07
17,0.2,0.11,0.37,0.49,0.22,0.28,0.31,0.07,0.16,0.32,0.05
18,0.23,0.21,0.36,0.51,0.22,0.32,0.36,0.15,0.07,0.41,0.09
19,0.23,0.16,0.34,0.46,0.24,0.29,0.32,0.09,0.05,0.42,0.03
20,0.22,0.13,0.35,0.42,0.24,0.32,0.33,0.17,0.06,0.4,0.07
21,0.25,0.16,0.36,0.46,0.23,0.31,0.37,0.18,0.08,0.33,0.02
22,0.18,0.2,0.4,0.46,0.21,0.35,0.31,0.16,0.17,0.38,0.06
23,0.21,0.08,0.34,0.51,0.23,0.29,0.37,0.16,0.01,0.32,0.1
24,0.24,0.08,0.41,0.48,0.2,0.28,0.32,0.17,0.04,0.34,0.08
25,0.22,0.16,0.34,0.45,0.2,0.23,0.31,0.14,0.13,0.33,0.05
26,0.25,0.06,0.36,0.48,0.23,0.33,0.34,0.1,0.03,0.37,0.09
27,0.26,0.13,0.36,0.45,0.22,0.26,0.29,0.11,0.17,0.33,0.05
28,0.25,0.16,0.42,0.48,0.22,0.28,0.35,0.12,0.24,0.37,0.04
29,0.24,0.12,0.37,0.43,0.23,0.28,0.33,0.2,0.08,0.35,0.09
30,0.26,0.16,0.38,0.46,0.2,0.26,0.29,0.07,0.19,0.32,0.1
31,0.23,0.11,0.39,0.45,0.19,0.27,0.3,0.13,0.25,0.37,0.04
32,0.24,0.1,0.37,0.48,0.23,0.3,0.32,0.18,0.22,0.3,0.04
33,0.23,0.12,0.32,0.48,0.25,0.31,0.2,0.16,0.04,0.36,0.12
34,0.19,0.14,0.41,0.46,0.19,0.25,0.17,0.1,0.22,0.34,0.05
35,0.25,0.19,0.4,0.49,0.21,0.32,0.33,0.2,0.26,0.35,0.06
36,0.24,0.09,0.33,0.45,0.21,0.27,0.25,0.18,0.21,0.34,0.07
37,0.26,0.12,0.4,0.47,0.24,0.29,0.27,0.15,0.24,0.38,0.07
38,0.19,0.2,0.33,0.49,0.24,0.3,0.26,0.19,0.25,0.37,0.07
39,0.29,0.13,0.33,0.47,0.2,0.31,0.29,0.16,0.16,0.38,0.07
40,0.25,0.13,0.39,0.46,0.23,0.27,0.25,0.14,0.25,0.31,0.07
41,0.23,0.18,0.31,0.52,0.19,0.34,0.25,0.18,0.13,0.33,0.06
42,0.18,0.14,0.36,0.46,0.22,0.31,0.31,0.23,0.3,0.32,0.08
