paraphrase idx,falcon-7b-instruct_acc,mpt-7b-instruct_acc,flan-t5-xl_acc,flan-t5-xxl_acc,t0pp_acc,alpaca-13b_acc,airoboros-13b_acc,nous-hermes-13b_acc,ultralm-13b_acc,vicuna-13b_acc,minotaur-15b_acc
1,0.17,0.18,0.31,0.44,0.09,0.26,0.28,0.4,0.19,0.47,0.07
2,0.2,0.27,0.34,0.52,0.09,0.25,0.27,0.34,0.02,0.32,0.19
3,0.21,0.27,0.34,0.54,0.06,0.24,0.24,0.32,0.0,0.33,0.06
4,0.18,0.25,0.32,0.58,0.04,0.23,0.27,0.29,0.11,0.39,0.18
5,0.2,0.28,0.39,0.53,0.08,0.27,0.25,0.32,0.0,0.3,0.12
6,0.23,0.26,0.33,0.54,0.12,0.25,0.28,0.32,0.03,0.36,0.24
7,0.17,0.23,0.38,0.51,0.05,0.28,0.24,0.31,0.0,0.32,0.16
8,0.16,0.25,0.29,0.53,0.08,0.25,0.27,0.3,0.06,0.25,0.16
9,0.16,0.22,0.35,0.48,0.11,0.26,0.27,0.3,0.0,0.35,0.17
10,0.16,0.25,0.32,0.43,0.06,0.26,0.28,0.39,0.0,0.32,0.09
11,0.27,0.24,0.32,0.47,0.03,0.29,0.3,0.32,0.0,0.35,0.06
12,0.18,0.27,0.29,0.52,0.07,0.3,0.23,0.35,0.0,0.37,0.14
13,0.14,0.06,0.32,0.45,0.04,0.27,0.25,0.32,0.04,0.3,0.16
14,0.18,0.28,0.26,0.5,0.03,0.27,0.27,0.34,0.0,0.38,0.04
15,0.21,0.23,0.35,0.6,0.05,0.27,0.28,0.34,0.0,0.3,0.13
16,0.2,0.28,0.36,0.52,0.1,0.27,0.27,0.33,0.07,0.31,0.23
17,0.15,0.23,0.33,0.54,0.1,0.25,0.28,0.32,0.27,0.3,0.21
18,0.22,0.21,0.33,0.56,0.12,0.26,0.27,0.35,0.0,0.33,0.18
19,0.17,0.25,0.4,0.48,0.07,0.26,0.29,0.36,0.06,0.36,0.14
20,0.2,0.24,0.33,0.5,0.12,0.23,0.25,0.35,0.02,0.39,0.12
21,0.2,0.22,0.33,0.51,0.09,0.27,0.27,0.3,0.26,0.3,0.23
22,0.24,0.21,0.3,0.5,0.1,0.25,0.29,0.29,0.21,0.31,0.15
23,0.19,0.28,0.39,0.52,0.08,0.22,0.27,0.27,0.0,0.35,0.15
24,0.17,0.02,0.35,0.52,0.05,0.27,0.27,0.38,0.08,0.4,0.16
25,0.25,0.03,0.32,0.48,0.05,0.25,0.25,0.33,0.08,0.27,0.21
26,0.18,0.26,0.33,0.37,0.09,0.28,0.29,0.38,0.0,0.33,0.14
27,0.23,0.04,0.43,0.55,0.1,0.22,0.27,0.27,0.28,0.36,0.2
28,0.17,0.08,0.37,0.55,0.08,0.22,0.27,0.27,0.26,0.4,0.16
29,0.14,0.12,0.35,0.52,0.13,0.23,0.23,0.33,0.31,0.3,0.17
30,0.23,0.19,0.32,0.47,0.09,0.24,0.27,0.25,0.26,0.3,0.19
