paraphrase idx,t0_3b_acc,t0pp_acc,alpaca-7b_acc,alpaca-13b_acc,flan-t5-small_acc,flan-t5-base_acc,flan-t5-large_acc,flan-t5-xl_acc,flan-t5-xxl_acc
default,0.649999976,0.699999988,0.40625,0.609375,0.366666667,0.366666675,0.366666667,0.416667,0.566667
p1,0.600000024,0.783333361,0.75,0.8125,0.35,0.550000012,0.616666667,0.766666667,0.833333333
p2,0.649999976,0.716666639,0.78125,0.796875,0.216666667,0.5,0.616666667,0.733333333,0.133333333
p3,0.616666675,0.716666639,0.75,0.875,0.333333333,0.600000024,0.75,0.766666667,0.833333333
p4,0.550000012,0.683333337,0.578125,0.828125,0.183333333,0.449999988,0.7,0.733333333,0.8
p5,0.633333325,0.716666639,0.734375,0.875,0.366666667,0.516666651,0.716666667,0.766666667,0.85
p6,0.633333325,0.716666639,0.640625,0.90625,0.333333333,0.516666651,0.7,0.733333333,0.85
p7,0.566666663,0.716666639,0.65625,0.875,0.4,0.449999988,0.733333333,0.75,0.833333333
p8,0.566666663,0.699999988,0.71875,0.78125,0.25,0.516666651,0.7,0.766666667,0.883333333
p9,0.583333313,0.666666687,0.734375,0.859375,0.35,0.516666651,0.716666667,0.75,0.816666667
