paraphrase idx,t0_3b_acc,t0pp_acc,alpaca-7b_acc,alpaca-13b_acc,flan-t5-small_acc,flan-t5-base_acc,flan-t5-large_acc,flan-t5-xl_acc,flan-t5-xxl_acc
default,0.415094346,0.490566045,0.535714269,0.535714269,0.452830189,0.358490556,0.490566038,0.886792481,0.830188692
p1,,0.509433985,0.607142866,0.660714269,0.377358491,0.358490556,0.716981132,0.754716992,0.830188692
p2,0.433962256,0.471698105,0.821428597,0.553571403,0.698113208,0.452830195,0.79245283,0.622641504,0.641509414
p3,0.471698105,0.471698105,0.714285731,0.607142866,0.641509434,0.490566045,0.716981132,0.716981113,0.735849082
p4,0.471698105,0.547169805,0.571428597,0.517857134,0.735849057,0.452830195,0.603773585,0.698113203,0.867924511
p5,,0.509433985,0.5,0.5,0.471698105,0.452830195,0.641509434,0.698113203,0.792452812
p6,0.433962256,0.471698105,0.607142866,0.589285731,0.452830189,0.377358496,0.679245283,0.679245293,0.773584902
p7,,0.471698105,0.589285731,0.678571403,0.41509434,0.396226406,0.679245283,0.679245293,0.735849082
p8,0.452830195,0.452830195,0.517857134,0.553571403,0.320754717,0.339622647,0.735849057,0.698113203,0.754716992
p9,,0.490566045,0.589285731,0.553571403,0.924528302,0.471698105,0.698113208,0.679245293,0.792452812
p10,0.452830195,0.433962256,0.535714269,0.571428597,0.660377358,0.471698105,0.716981132,0.641509414,0.754716992
