paraphrase idx,t0_3b_acc,t0pp_acc,alpaca-7b_acc,alpaca-13b_acc,flan-t5-small_acc,flan-t5-base_acc,flan-t5-large_acc,flan-t5-xl_acc,flan-t5-xxl_acc
default,,0.523211181,0.519150436,0.504526436,0.443630017,0.463525295,0.467364747,0.459685864,0.487958115
1,0.443280965,0.572774887,0.557799459,0.600278556,0.546596859,0.616753936,0.473298429,0.697731239,0.594415358
2,,0.623385668,0.557451248,0.584958196,0.505061082,0.639790595,0.485514834,0.620244328,0.521815009
3,0.444328099,0.556719005,0.55884403,0.592618406,0.562652707,0.568586409,0.554624782,0.626527051,0.646073298
4,,0.655846417,0.445334256,0.443593323,0.556719023,0.527748704,0.583246073,0.605235602,0.581500873
5,0.449912727,0.635602117,0.563022256,0.611420631,0.567190227,0.606980801,0.507853403,0.62513089,0.604188482
6,,0.59755671,0.443593323,0.444986075,0.517975567,0.625479937,0.539267016,0.541012216,0.538568935
7,0.443280965,0.557417095,0.556406677,0.565807819,0.62408377,0.460034907,0.604188482,0.608027923,0.511692845
8,,0.668411851,0.556406677,0.584610045,0.467364747,0.653403163,0.597905759,0.644328098,0.688656195
9,0.447469473,0.625130892,0.556406677,0.570334256,0.559162304,0.58813262,0.515183246,0.620244328,0.705759162
10,,0.680279255,0.556406677,0.563718677,0.558813264,0.532286227,0.557068063,0.569284468,0.686212914
