paraphrase idx,t0_3b_acc,t0pp_acc,falcon-7b-instruct_acc,mpt-7b-instruct_acc,alpaca-7b_acc,alpaca-13b_acc,flan-t5-small_acc,flan-t5-base_acc,flan-t5-large_acc,flan-t5-xl_acc,flan-t5-xxl_acc,airoboros-13b_acc,nous-hermes-13b_acc,ultralm-13b_acc,vicuna-13b_acc,minotaur-15b_acc
1,0.46,0.48,0.62,0.22,0.52,0.53,0.06,0.51,0.51,0.14,0.53,0.36,0.01,0.28,0.15,0.11
2,0.46,0.49,0.54,0.16,0.52,0.57,0.42,0.45,0.47,0.53,0.56,0.22,0.16,0.35,0.26,0.25
3,0.42,0.51,0.46,0.24,0.51,0.47,0.32,0.52,0.5,0.49,0.54,0.52,0.51,0.26,0.67,0.35
4,0.48,0.56,0.56,0.45,0.11,0.06,0.46,0.51,0.53,0.57,0.53,0.58,0.03,0.39,0.16,0.62
5,0.43,0.53,0.56,0.45,0.08,0.11,0.46,0.47,0.47,0.56,0.55,0.53,0.05,0.51,0.23,0.55
6,0.49,0.54,0.07,0.03,0.0,0.01,0.38,0.56,0.45,0.52,0.54,0.48,0.19,0.0,0.05,0.01
7,0.48,0.5,0.48,0.41,0.38,0.35,0.48,0.52,0.45,0.45,0.52,0.48,0.09,0.39,0.1,0.56
8,0.42,0.48,0.54,0.45,0.15,0.1,0.49,0.52,0.45,0.56,0.49,0.52,0.04,0.46,0.06,0.65
9,0.46,0.52,0.02,0.14,0.06,0.77,0.33,0.49,0.54,0.38,0.49,0.14,0.0,0.0,0.03,0.0
10,0.44,0.55,0.43,0.43,0.01,0.07,0.46,0.5,0.54,0.58,0.53,0.15,0.0,0.0,0.22,0.15
11,0.43,0.46,0.18,0.01,0.03,0.01,0.27,0.54,0.51,0.51,0.48,0.19,0.0,0.04,0.0,0.02
12,0.47,0.52,0.15,0.0,0.0,0.03,0.52,0.54,0.49,0.61,0.49,0.11,0.01,0.28,0.02,0.05
13,0.49,0.56,0.03,0.17,0.0,0.01,0.45,0.51,0.49,0.58,0.56,0.02,0.04,0.0,0.01,0.0
14,0.46,0.49,0.02,0.33,0.0,0.03,0.45,0.53,0.57,0.61,0.52,0.08,0.18,0.0,0.01,0.0
15,0.41,0.4,0.0,0.0,0.01,0.07,0.48,0.53,0.48,0.56,0.49,0.04,0.0,0.0,0.0,0.0
16,0.5,0.54,0.04,0.0,0.0,0.0,0.48,0.49,0.45,0.55,0.52,0.22,0.0,0.02,0.05,0.0
17,0.46,0.52,0.05,0.17,0.0,0.01,0.36,0.55,0.54,0.58,0.55,0.02,0.02,0.02,0.0,0.0
18,0.42,0.5,0.55,0.47,0.02,0.06,0.41,0.46,0.49,0.62,0.54,0.51,0.07,0.44,0.24,0.61
19,0.51,0.54,0.04,0.05,0.02,0.0,0.46,0.55,0.52,0.57,0.51,0.03,0.02,0.0,0.01,0.01
20,0.45,0.49,0.02,0.0,0.0,0.0,0.21,0.53,0.37,0.53,0.55,0.44,0.0,0.04,0.02,0.02
21,0.41,0.49,0.01,0.0,0.04,0.0,0.4,0.53,0.45,0.5,0.52,0.25,0.0,0.0,0.02,0.0
22,0.35,0.48,0.0,0.06,0.0,0.01,0.34,0.53,0.5,0.5,0.53,0.3,0.0,0.02,0.05,0.0
23,0.39,0.5,0.47,0.46,0.02,0.01,0.35,0.51,0.47,0.49,0.53,0.52,0.27,0.32,0.32,0.19
24,0.46,0.54,0.02,0.0,0.0,0.0,0.25,0.5,0.49,0.49,0.56,0.39,0.0,0.0,0.01,0.0
25,0.42,0.5,0.54,0.59,0.23,0.02,0.36,0.46,0.48,0.53,0.53,0.57,0.56,0.47,0.19,0.43
26,0.4,0.56,0.05,0.01,0.01,0.01,0.19,0.47,0.49,0.56,0.53,0.44,0.0,0.02,0.03,0.02
27,0.38,0.52,0.57,0.51,0.03,0.14,0.29,0.52,0.44,0.43,0.56,0.54,0.56,0.3,0.41,0.36
28,0.04,0.34,0.16,0.03,0.01,0.04,0.25,0.47,0.15,0.33,0.51,0.42,0.63,0.39,0.0,0.53
29,0.18,0.39,0.44,0.23,0.0,0.07,0.41,0.48,0.48,0.5,0.46,0.08,0.0,0.0,0.01,0.01
30,0.03,0.22,0.11,0.55,0.24,0.0,0.3,0.29,0.06,0.0,0.0,0.04,0.09,0.26,0.0,0.26
31,0.0,0.21,0.05,0.08,0.0,0.0,0.48,0.53,0.51,0.45,0.54,0.02,0.01,0.35,0.0,0.05
32,0.08,0.11,0.15,0.18,0.1,0.0,0.17,0.49,0.05,0.14,0.03,0.17,0.0,0.0,0.08,0.0
33,0.36,0.45,0.03,0.42,0.08,0.17,0.61,0.54,0.48,0.6,0.52,0.11,0.0,0.0,0.08,0.01
34,0.02,0.21,0.06,0.04,0.0,0.0,0.5,0.55,0.54,0.5,0.54,0.03,0.03,0.14,0.0,0.01
35,0.38,0.49,0.22,0.01,0.19,0.0,0.48,0.51,0.48,0.52,0.53,0.02,0.0,0.19,0.0,0.05
36,0.0,0.13,0.19,0.11,0.03,0.01,0.07,0.01,0.1,0.27,0.16,0.06,0.01,0.0,0.03,0.01
37,0.12,0.35,0.26,0.16,0.0,0.05,0.42,0.51,0.49,0.51,0.48,0.06,0.0,0.01,0.0,0.0
38,0.0,0.04,0.04,0.35,0.0,0.0,0.45,0.17,0.04,0.03,0.0,0.01,0.0,0.0,0.01,0.01
39,0.5,0.53,0.03,0.0,0.0,0.07,0.47,0.55,0.49,0.53,0.54,0.0,0.02,0.0,0.04,0.0
40,0.18,0.28,0.19,0.27,0.0,0.0,0.48,0.49,0.49,0.52,0.53,0.15,0.26,0.08,0.0,0.0
41,0.25,0.19,0.35,0.51,0.05,0.0,0.15,0.35,0.05,0.25,0.18,0.13,0.0,0.0,0.05,0.0
42,0.44,0.52,0.03,0.01,0.0,0.06,0.39,0.56,0.51,0.54,0.55,0.06,0.04,0.0,0.11,0.02
43,0.45,0.52,0.55,0.54,0.0,0.04,0.43,0.5,0.47,0.51,0.52,0.56,0.28,0.33,0.32,0.45
44,0.38,0.47,0.54,0.55,0.0,0.1,0.22,0.49,0.46,0.48,0.56,0.55,0.55,0.23,0.47,0.42
45,0.05,0.21,0.19,0.27,0.02,0.01,0.42,0.36,0.02,0.11,0.22,0.04,0.0,0.01,0.01,0.02
46,0.44,0.51,0.02,0.0,0.02,0.01,0.32,0.55,0.42,0.5,0.55,0.44,0.0,0.0,0.02,0.02
47,0.37,0.53,0.56,0.55,0.01,0.1,0.2,0.51,0.43,0.42,0.55,0.5,0.62,0.28,0.47,0.36
48,0.46,0.52,0.53,0.59,0.26,0.03,0.35,0.49,0.5,0.5,0.55,0.58,0.54,0.31,0.21,0.32
49,0.47,0.49,0.53,0.57,0.0,0.03,0.2,0.48,0.46,0.47,0.56,0.52,0.42,0.42,0.21,0.41
50,0.45,0.49,0.17,0.0,0.25,0.0,0.5,0.47,0.47,0.53,0.53,0.01,0.0,0.07,0.02,0.0
51,0.45,0.5,0.61,0.46,0.08,0.1,0.44,0.48,0.54,0.58,0.57,0.56,0.01,0.45,0.1,0.64
52,0.33,0.47,0.57,0.48,0.02,0.06,0.2,0.53,0.43,0.47,0.56,0.55,0.58,0.28,0.58,0.36
53,0.44,0.47,0.41,0.45,0.05,0.07,0.46,0.55,0.52,0.58,0.52,0.06,0.24,0.05,0.36,0.2
54,0.42,0.5,0.55,0.36,0.06,0.1,0.47,0.5,0.5,0.55,0.53,0.54,0.08,0.49,0.29,0.65
55,0.34,0.5,0.55,0.51,0.02,0.1,0.17,0.58,0.41,0.51,0.51,0.54,0.57,0.28,0.5,0.22
56,0.49,0.54,0.55,0.48,0.24,0.03,0.49,0.56,0.5,0.56,0.51,0.57,0.25,0.43,0.06,0.52
57,0.35,0.54,0.01,0.0,0.0,0.0,0.27,0.51,0.48,0.49,0.5,0.25,0.0,0.0,0.03,0.0
58,0.17,0.47,0.57,0.23,0.14,0.02,0.19,0.5,0.53,0.43,0.51,0.2,0.15,0.25,0.01,0.48
59,0.45,0.5,0.0,0.0,0.32,0.02,0.3,0.51,0.51,0.43,0.52,0.15,0.0,0.0,0.04,0.03
60,0.31,0.47,0.0,0.01,0.13,0.06,0.34,0.53,0.47,0.51,0.59,0.35,0.0,0.0,0.04,0.02
61,0.26,0.4,0.64,0.54,0.02,0.01,0.36,0.53,0.48,0.43,0.53,0.54,0.38,0.27,0.08,0.45
62,0.41,0.45,0.13,0.0,0.01,0.01,0.17,0.46,0.51,0.54,0.5,0.28,0.04,0.04,0.05,0.0
63,0.42,0.5,0.56,0.43,0.02,0.17,0.46,0.52,0.53,0.56,0.5,0.53,0.06,0.43,0.31,0.61
64,0.2,0.41,0.58,0.51,0.05,0.05,0.44,0.52,0.48,0.49,0.54,0.54,0.46,0.3,0.04,0.28
65,0.39,0.5,0.51,0.55,0.27,0.21,0.17,0.54,0.49,0.52,0.54,0.49,0.61,0.29,0.29,0.35
66,0.49,0.52,0.07,0.04,0.01,0.01,0.42,0.55,0.47,0.51,0.52,0.48,0.2,0.01,0.01,0.0
