paraphrase idx,t0_3b_acc,t0pp_acc,falcon-7b-instruct_acc,mpt-7b-instruct_acc,alpaca-7b_acc,alpaca-13b_acc,flan-t5-small_acc,flan-t5-base_acc,flan-t5-large_acc,flan-t5-xl_acc,flan-t5-xxl_acc,airoboros-13b_acc,nous-hermes-13b_acc,ultralm-13b_acc,vicuna-13b_acc,minotaur-15b_acc
1,0.44,0.61,0.51,0.37,0.72,0.46,0.46,0.61,0.6,0.68,0.77,0.46,0.64,0.62,0.7,0.59
2,0.45,0.58,0.59,0.4,0.6,0.49,0.48,0.59,0.64,0.65,0.79,0.43,0.73,0.43,0.65,0.63
3,0.47,0.61,0.39,0.07,0.6,0.56,0.27,0.56,0.55,0.72,0.82,0.41,0.65,0.48,0.24,0.37
4,0.33,0.58,0.46,0.45,0.06,0.1,0.25,0.55,0.54,0.58,0.77,0.0,0.19,0.0,0.0,0.0
5,0.39,0.55,0.0,0.43,0.02,0.0,0.47,0.54,0.65,0.7,0.82,0.01,0.0,0.0,0.01,0.04
6,0.5,0.64,0.51,0.46,0.31,0.1,0.39,0.57,0.51,0.67,0.84,0.0,0.17,0.0,0.0,0.0
7,0.49,0.65,0.01,0.42,0.01,0.0,0.43,0.6,0.62,0.67,0.83,0.04,0.45,0.31,0.02,0.19
8,0.4,0.59,0.61,0.35,0.11,0.15,0.33,0.58,0.52,0.67,0.83,0.0,0.18,0.02,0.0,0.0
9,0.38,0.54,0.47,0.46,0.04,0.14,0.04,0.53,0.56,0.63,0.8,0.0,0.45,0.01,0.0,0.02
10,0.25,0.57,0.58,0.49,0.03,0.21,0.15,0.54,0.5,0.64,0.82,0.0,0.15,0.02,0.0,0.0
11,0.37,0.54,0.5,0.52,0.3,0.13,0.3,0.55,0.6,0.66,0.82,0.0,0.18,0.0,0.0,0.0
12,0.48,0.63,0.62,0.61,0.06,0.1,0.42,0.55,0.61,0.65,0.78,0.61,0.65,0.52,0.13,0.63
13,0.39,0.61,0.36,0.45,0.03,0.11,0.37,0.56,0.53,0.69,0.71,0.53,0.56,0.09,0.07,0.34
14,0.47,0.53,0.4,0.49,0.26,0.07,0.39,0.56,0.5,0.6,0.64,0.06,0.42,0.0,0.01,0.04
15,0.36,0.47,0.26,0.44,0.2,0.2,0.32,0.57,0.58,0.55,0.7,0.53,0.56,0.03,0.0,0.09
16,0.16,0.26,0.0,0.54,0.0,0.04,0.1,0.05,0.05,0.0,0.01,0.16,0.06,0.0,0.0,0.12
17,0.0,0.22,0.41,0.27,0.0,0.09,0.0,0.0,0.01,0.0,0.0,0.08,0.09,0.01,0.02,0.14
18,0.44,0.56,0.36,0.48,0.3,0.08,0.32,0.57,0.54,0.61,0.71,0.13,0.35,0.0,0.0,0.07
19,0.32,0.52,0.47,0.57,0.35,0.0,0.42,0.63,0.6,0.63,0.76,0.49,0.46,0.39,0.03,0.38
20,0.42,0.62,0.08,0.46,0.0,0.0,0.41,0.65,0.61,0.71,0.8,0.41,0.56,0.43,0.02,0.08
21,0.49,0.59,0.0,0.58,0.01,0.04,0.46,0.6,0.63,0.58,0.79,0.15,0.27,0.37,0.0,0.39
22,0.36,0.6,0.04,0.31,0.0,0.0,0.32,0.64,0.54,0.63,0.75,0.05,0.0,0.01,0.01,0.02
23,0.49,0.61,0.53,0.54,0.0,0.09,0.44,0.54,0.62,0.68,0.76,0.52,0.66,0.64,0.06,0.5
24,0.46,0.63,0.02,0.4,0.0,0.01,0.19,0.57,0.55,0.67,0.82,0.21,0.32,0.27,0.02,0.14
25,0.37,0.58,0.43,0.34,0.0,0.01,0.31,0.61,0.57,0.58,0.72,0.13,0.0,0.05,0.04,0.11
26,0.46,0.6,0.06,0.01,0.0,0.0,0.37,0.62,0.53,0.68,0.85,0.46,0.0,0.0,0.0,0.0
27,0.43,0.68,0.32,0.42,0.21,0.02,0.1,0.53,0.66,0.71,0.8,0.27,0.48,0.13,0.17,0.25
28,0.32,0.57,0.15,0.39,0.01,0.04,0.27,0.57,0.53,0.64,0.82,0.02,0.63,0.2,0.0,0.02
29,0.03,0.17,0.0,0.0,0.0,0.13,0.03,0.37,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,0.48,0.67,0.23,0.55,0.03,0.1,0.39,0.61,0.57,0.7,0.83,0.08,0.47,0.17,0.02,0.12
31,0.43,0.58,0.52,0.48,0.06,0.04,0.37,0.57,0.5,0.66,0.83,0.0,0.3,0.06,0.0,0.0
32,0.32,0.47,0.56,0.49,0.33,0.04,0.27,0.54,0.57,0.61,0.76,0.0,0.36,0.0,0.0,0.0
33,0.12,0.41,0.02,0.07,0.01,0.0,0.11,0.5,0.54,0.69,0.8,0.0,0.13,0.17,0.05,0.01
34,0.17,0.35,0.14,0.31,0.0,0.0,0.39,0.57,0.51,0.69,0.8,0.05,0.66,0.18,0.01,0.05
35,0.31,0.63,0.37,0.25,0.03,0.09,0.18,0.53,0.51,0.69,0.82,0.04,0.31,0.02,0.0,0.0
36,0.37,0.5,0.32,0.49,0.43,0.05,0.28,0.64,0.52,0.58,0.73,0.04,0.48,0.01,0.01,0.05
37,0.38,0.52,0.4,0.47,0.18,0.03,0.34,0.58,0.57,0.54,0.63,0.46,0.51,0.02,0.05,0.18
38,0.08,0.31,0.26,0.64,0.0,0.0,0.41,0.52,0.56,0.65,0.66,0.26,0.57,0.13,0.01,0.29
39,0.42,0.63,0.46,0.52,0.11,0.09,0.41,0.65,0.58,0.7,0.69,0.54,0.57,0.05,0.32,0.27
40,0.43,0.54,0.05,0.0,0.11,0.01,0.44,0.61,0.64,0.68,0.72,0.0,0.0,0.0,0.0,0.0
41,0.37,0.55,0.65,0.62,0.0,0.17,0.47,0.58,0.61,0.7,0.74,0.58,0.73,0.5,0.13,0.7
42,0.11,0.28,0.39,0.67,0.01,0.15,0.25,0.49,0.5,0.65,0.6,0.2,0.24,0.32,0.02,0.6
43,0.45,0.54,0.41,0.36,0.0,0.0,0.42,0.51,0.58,0.66,0.68,0.27,0.5,0.09,0.0,0.28
44,0.39,0.6,0.03,0.45,0.06,0.0,0.48,0.55,0.62,0.66,0.81,0.0,0.48,0.27,0.01,0.03
45,0.42,0.59,0.0,0.55,0.01,0.09,0.46,0.55,0.58,0.63,0.81,0.13,0.26,0.34,0.01,0.32
46,0.41,0.63,0.02,0.43,0.01,0.0,0.27,0.54,0.58,0.69,0.82,0.09,0.42,0.22,0.01,0.16
47,0.45,0.62,0.05,0.0,0.0,0.0,0.33,0.66,0.64,0.7,0.78,0.49,0.0,0.0,0.0,0.0
48,0.49,0.63,0.06,0.49,0.0,0.01,0.26,0.56,0.58,0.68,0.82,0.05,0.38,0.25,0.02,0.14
49,0.45,0.61,0.37,0.59,0.01,0.19,0.13,0.54,0.59,0.67,0.84,0.27,0.47,0.37,0.03,0.15
50,0.42,0.57,0.0,0.39,0.0,0.0,0.42,0.64,0.56,0.67,0.85,0.0,0.29,0.08,0.01,0.04
51,0.47,0.55,0.57,0.51,0.24,0.1,0.36,0.57,0.5,0.62,0.81,0.0,0.34,0.01,0.0,0.0
52,0.44,0.6,0.0,0.56,0.06,0.02,0.46,0.61,0.69,0.62,0.83,0.1,0.27,0.37,0.02,0.32
53,0.41,0.54,0.14,0.48,0.0,0.0,0.46,0.62,0.62,0.67,0.75,0.19,0.0,0.25,0.01,0.02
54,0.48,0.59,0.48,0.59,0.02,0.13,0.2,0.57,0.58,0.66,0.85,0.34,0.68,0.54,0.03,0.17
55,0.39,0.55,0.33,0.45,0.18,0.14,0.35,0.59,0.56,0.62,0.7,0.27,0.52,0.03,0.0,0.14
56,0.45,0.59,0.0,0.59,0.0,0.01,0.46,0.6,0.67,0.62,0.8,0.16,0.39,0.33,0.02,0.33
57,0.34,0.58,0.54,0.62,0.09,0.05,0.44,0.61,0.64,0.65,0.77,0.52,0.77,0.32,0.28,0.72
58,0.47,0.62,0.6,0.57,0.0,0.1,0.44,0.59,0.59,0.69,0.79,0.53,0.7,0.67,0.05,0.63
59,0.5,0.62,0.48,0.55,0.14,0.1,0.18,0.58,0.51,0.69,0.81,0.36,0.64,0.56,0.02,0.45
60,0.42,0.64,0.27,0.54,0.06,0.14,0.29,0.62,0.56,0.61,0.81,0.13,0.47,0.12,0.08,0.05
61,0.42,0.58,0.01,0.53,0.0,0.0,0.4,0.64,0.57,0.64,0.84,0.0,0.3,0.19,0.01,0.07
62,0.43,0.59,0.01,0.09,0.07,0.01,0.43,0.53,0.57,0.53,0.78,0.0,0.0,0.01,0.0,0.0
63,0.5,0.66,0.02,0.26,0.02,0.0,0.42,0.6,0.64,0.64,0.79,0.32,0.0,0.24,0.01,0.01
64,0.4,0.62,0.02,0.29,0.14,0.03,0.34,0.6,0.59,0.65,0.81,0.04,0.24,0.18,0.0,0.11
65,0.46,0.61,0.02,0.15,0.0,0.01,0.36,0.61,0.6,0.68,0.81,0.0,0.0,0.15,0.0,0.0
66,0.55,0.59,0.47,0.37,0.17,0.25,0.14,0.42,0.52,0.65,0.75,0.13,0.62,0.51,0.15,0.23
67,0.41,0.56,0.28,0.36,0.0,0.0,0.46,0.6,0.67,0.64,0.66,0.11,0.46,0.39,0.01,0.15
68,0.42,0.48,0.31,0.54,0.36,0.22,0.05,0.52,0.54,0.58,0.54,0.2,0.36,0.01,0.04,0.07
69,0.44,0.57,0.0,0.39,0.05,0.0,0.18,0.62,0.6,0.62,0.61,0.23,0.01,0.0,0.02,0.0
70,0.03,0.22,0.15,0.23,0.0,0.0,0.39,0.61,0.61,0.52,0.44,0.2,0.0,0.0,0.02,0.0
71,0.44,0.61,0.43,0.51,0.13,0.22,0.18,0.58,0.5,0.7,0.85,0.19,0.67,0.53,0.02,0.27
72,0.46,0.62,0.36,0.52,0.22,0.11,0.35,0.56,0.52,0.62,0.76,0.13,0.67,0.39,0.04,0.54
73,0.39,0.52,0.42,0.57,0.01,0.0,0.46,0.61,0.51,0.71,0.79,0.2,0.02,0.07,0.22,0.07
74,0.46,0.64,0.29,0.62,0.0,0.26,0.42,0.53,0.6,0.66,0.79,0.46,0.74,0.7,0.15,0.51
75,0.33,0.48,0.48,0.6,0.04,0.06,0.42,0.59,0.64,0.62,0.76,0.59,0.73,0.35,0.08,0.81
76,0.01,0.04,0.4,0.21,0.1,0.06,0.2,0.36,0.27,0.05,0.0,0.19,0.03,0.01,0.01,0.02
77,0.39,0.61,0.04,0.08,0.02,0.0,0.24,0.58,0.5,0.67,0.72,0.07,0.0,0.24,0.0,0.0
78,0.34,0.61,0.59,0.58,0.02,0.12,0.49,0.6,0.62,0.65,0.73,0.34,0.74,0.37,0.04,0.63
79,0.39,0.6,0.53,0.56,0.13,0.03,0.13,0.58,0.52,0.68,0.81,0.33,0.62,0.4,0.01,0.33
80,0.11,0.24,0.08,0.39,0.04,0.05,0.0,0.16,0.13,0.1,0.37,0.15,0.09,0.0,0.02,0.02
81,0.35,0.46,0.03,0.45,0.11,0.16,0.09,0.38,0.33,0.58,0.52,0.33,0.36,0.07,0.02,0.28
82,0.34,0.56,0.49,0.53,0.04,0.08,0.46,0.54,0.61,0.71,0.65,0.49,0.72,0.22,0.05,0.68
83,0.48,0.59,0.47,0.54,0.09,0.11,0.42,0.56,0.64,0.62,0.73,0.37,0.66,0.57,0.08,0.54
84,0.49,0.55,0.47,0.52,0.02,0.11,0.5,0.58,0.65,0.67,0.67,0.43,0.65,0.52,0.05,0.51
85,0.61,0.59,0.45,0.38,0.16,0.28,0.14,0.38,0.39,0.64,0.76,0.3,0.55,0.52,0.17,0.2
86,0.52,0.62,0.34,0.52,0.26,0.14,0.25,0.56,0.59,0.63,0.67,0.15,0.44,0.01,0.02,0.01
87,0.56,0.62,0.09,0.35,0.01,0.03,0.26,0.36,0.55,0.68,0.78,0.16,0.46,0.27,0.09,0.11
88,0.48,0.59,0.26,0.44,0.03,0.0,0.5,0.63,0.68,0.7,0.68,0.18,0.14,0.04,0.14,0.12
89,0.51,0.57,0.07,0.02,0.0,0.0,0.35,0.54,0.41,0.58,0.74,0.29,0.09,0.0,0.0,0.0
90,0.38,0.55,0.0,0.01,0.0,0.0,0.3,0.61,0.59,0.61,0.65,0.01,0.0,0.0,0.0,0.0
91,0.38,0.53,0.58,0.41,0.0,0.0,0.41,0.57,0.44,0.65,0.66,0.17,0.1,0.08,0.03,0.13
92,0.45,0.64,0.06,0.06,0.0,0.0,0.58,0.55,0.66,0.62,0.68,0.28,0.01,0.0,0.0,0.0
93,0.43,0.47,0.0,0.05,0.05,0.01,0.06,0.57,0.28,0.62,0.6,0.33,0.02,0.0,0.02,0.0
94,0.49,0.55,0.22,0.54,0.13,0.27,0.59,0.6,0.58,0.65,0.64,0.39,0.63,0.31,0.15,0.23
95,0.47,0.62,0.0,0.39,0.01,0.02,0.09,0.34,0.37,0.52,0.61,0.03,0.14,0.04,0.01,0.01
96,0.43,0.66,0.54,0.59,0.05,0.06,0.42,0.5,0.51,0.65,0.83,0.36,0.63,0.62,0.03,0.29
97,0.43,0.56,0.0,0.37,0.0,0.02,0.45,0.63,0.63,0.68,0.8,0.0,0.47,0.25,0.03,0.09
98,0.27,0.57,0.0,0.04,0.02,0.03,0.44,0.51,0.55,0.53,0.76,0.01,0.0,0.0,0.0,0.0
99,0.49,0.62,0.13,0.18,0.0,0.0,0.3,0.66,0.61,0.64,0.76,0.24,0.0,0.14,0.01,0.01
100,0.47,0.53,0.14,0.24,0.01,0.01,0.31,0.58,0.54,0.64,0.6,0.02,0.18,0.0,0.05,0.0
101,0.48,0.63,0.17,0.48,0.0,0.02,0.47,0.58,0.48,0.74,0.76,0.2,0.46,0.41,0.0,0.17
102,0.39,0.54,0.37,0.56,0.43,0.17,0.07,0.51,0.55,0.64,0.58,0.0,0.26,0.0,0.01,0.0
103,0.58,0.62,0.13,0.07,0.01,0.01,0.53,0.53,0.63,0.69,0.68,0.16,0.02,0.05,0.0,0.0
104,0.07,0.33,0.03,0.15,0.0,0.0,0.48,0.66,0.63,0.66,0.59,0.24,0.0,0.0,0.01,0.0
105,0.39,0.53,0.18,0.45,0.36,0.12,0.18,0.6,0.56,0.62,0.64,0.03,0.41,0.0,0.01,0.0
106,0.52,0.61,0.12,0.35,0.03,0.03,0.61,0.55,0.65,0.69,0.65,0.15,0.48,0.34,0.04,0.13
107,0.56,0.63,0.34,0.48,0.17,0.08,0.48,0.6,0.49,0.7,0.67,0.15,0.03,0.03,0.0,0.08
108,0.4,0.49,0.0,0.13,0.03,0.01,0.19,0.56,0.53,0.61,0.55,0.18,0.02,0.0,0.0,0.01
109,0.38,0.54,0.04,0.52,0.31,0.11,0.21,0.6,0.52,0.64,0.57,0.32,0.35,0.01,0.01,0.08
110,0.56,0.62,0.15,0.13,0.0,0.02,0.55,0.57,0.58,0.62,0.65,0.39,0.03,0.2,0.01,0.1
111,0.41,0.57,0.46,0.55,0.17,0.09,0.27,0.49,0.54,0.67,0.67,0.54,0.62,0.05,0.0,0.13
112,0.54,0.62,0.47,0.46,0.17,0.25,0.52,0.55,0.63,0.69,0.72,0.12,0.6,0.55,0.1,0.21
113,0.4,0.59,0.29,0.34,0.02,0.01,0.47,0.55,0.62,0.68,0.67,0.11,0.44,0.4,0.01,0.12
114,0.47,0.53,0.0,0.08,0.0,0.0,0.45,0.57,0.64,0.71,0.61,0.04,0.0,0.02,0.0,0.0
115,0.49,0.58,0.02,0.17,0.0,0.0,0.27,0.42,0.55,0.66,0.66,0.11,0.0,0.11,0.0,0.03
116,0.52,0.6,0.02,0.35,0.03,0.0,0.55,0.54,0.61,0.69,0.69,0.02,0.03,0.0,0.01,0.0
