paraphrase idx,t0_3b_acc,t0pp_acc,falcon-7b-instruct_acc,mpt-7b-instruct_acc,alpaca-7b_acc,alpaca-13b_acc,flan-t5-small_acc,flan-t5-base_acc,flan-t5-large_acc,flan-t5-xl_acc,flan-t5-xxl_acc,airoboros-13b_acc,nous-hermes-13b_acc,ultralm-13b_acc,vicuna-13b_acc,minotaur-15b_acc
1,0.36,0.4,0.02,0.0,0.02,0.26,0.4,0.32,0.36,0.52,0.47,0.0,0.0,0.0,0.0,0.0
2,0.17,0.4,0.21,0.0,0.5,0.44,0.27,0.24,0.39,0.46,0.5,0.0,0.01,0.0,0.03,0.0
3,0.38,0.49,0.3,0.0,0.36,0.43,0.13,0.28,0.39,0.47,0.5,0.22,0.0,0.0,0.32,0.0
4,0.47,0.44,0.29,0.17,0.01,0.04,0.36,0.26,0.4,0.57,0.55,0.07,0.0,0.0,0.0,0.0
5,0.32,0.46,0.08,0.28,0.0,0.04,0.34,0.1,0.38,0.61,0.54,0.2,0.0,0.0,0.0,0.0
6,0.51,0.42,0.07,0.24,0.0,0.03,0.36,0.11,0.39,0.64,0.49,0.23,0.0,0.0,0.0,0.0
7,0.28,0.43,0.36,0.0,0.04,0.0,0.17,0.18,0.42,0.56,0.53,0.01,0.11,0.0,0.0,0.0
8,0.23,0.47,0.0,0.0,0.0,0.0,0.23,0.24,0.1,0.11,0.01,0.0,0.0,0.0,0.0,0.0
9,0.45,0.46,0.14,0.26,0.0,0.02,0.38,0.21,0.43,0.56,0.51,0.21,0.0,0.0,0.0,0.0
10,0.5,0.4,0.08,0.16,0.0,0.01,0.39,0.17,0.36,0.62,0.54,0.18,0.0,0.0,0.0,0.0
11,0.49,0.4,0.36,0.25,0.0,0.01,0.44,0.2,0.42,0.53,0.53,0.11,0.0,0.0,0.0,0.0
12,0.22,0.4,0.0,0.01,0.0,0.0,0.29,0.16,0.07,0.07,0.02,0.0,0.0,0.0,0.0,0.0
13,0.29,0.38,0.0,0.01,0.0,0.0,0.31,0.21,0.31,0.48,0.47,0.0,0.0,0.0,0.0,0.0
14,0.41,0.42,0.45,0.31,0.09,0.02,0.24,0.3,0.46,0.58,0.51,0.07,0.11,0.0,0.0,0.0
