paraphrase idx,falcon-7b-instruct_acc,mpt-7b-instruct_acc,flan-t5-xl_acc,flan-t5-xxl_acc,t0pp_acc,alpaca-13b_acc,airoboros-13b_acc,nous-hermes-13b_acc,ultralm-13b_acc,vicuna-13b_acc,minotaur-15b_acc
1,0.5,0.31,0.61,0.63,0.28,0.56,0.59,0.53,0.63,0.44,0.24
2,0.54,0.31,0.59,0.68,0.27,0.56,0.57,0.57,0.56,0.42,0.09
3,0.53,0.33,0.62,0.61,0.37,0.56,0.56,0.48,0.55,0.51,0.07
4,0.46,0.4,0.55,0.72,0.17,0.54,0.59,0.58,0.01,0.48,0.1
5,0.48,0.4,0.53,0.62,0.34,0.56,0.57,0.55,0.54,0.42,0.15
6,0.55,0.29,0.56,0.69,0.26,0.56,0.56,0.53,0.57,0.46,0.04
7,0.47,0.42,0.54,0.62,0.28,0.56,0.56,0.44,0.63,0.47,0.12
8,0.53,0.28,0.61,0.65,0.2,0.56,0.56,0.55,0.56,0.54,0.08
9,0.6,0.32,0.58,0.62,0.34,0.56,0.56,0.57,0.58,0.44,0.06
10,0.55,0.4,0.61,0.69,0.28,0.56,0.56,0.61,0.6,0.49,0.18
11,0.56,0.25,0.58,0.71,0.25,0.56,0.57,0.56,0.53,0.48,0.01
12,0.47,0.38,0.6,0.65,0.33,0.56,0.56,0.58,0.58,0.46,0.08
13,0.49,0.32,0.65,0.69,0.28,0.56,0.57,0.66,0.62,0.42,0.11
14,0.44,0.26,0.59,0.71,0.12,0.56,0.55,0.63,0.28,0.48,0.18
15,0.48,0.3,0.57,0.58,0.29,0.56,0.56,0.54,0.55,0.42,0.11
16,0.44,0.4,0.58,0.64,0.14,0.54,0.65,0.67,0.01,0.42,0.16
17,0.62,0.22,0.57,0.63,0.28,0.56,0.56,0.58,0.58,0.43,0.16
18,0.56,0.4,0.54,0.62,0.42,0.56,0.6,0.42,0.43,0.59,0.02
19,0.44,0.45,0.56,0.68,0.22,0.58,0.61,0.68,0.0,0.47,0.2
20,0.54,0.33,0.58,0.66,0.21,0.56,0.56,0.59,0.54,0.47,0.07
21,0.56,0.39,0.57,0.63,0.38,0.56,0.55,0.51,0.53,0.55,0.1
22,0.53,0.42,0.61,0.64,0.22,0.56,0.56,0.57,0.55,0.42,0.1
23,0.47,0.39,0.57,0.68,0.22,0.56,0.57,0.59,0.62,0.45,0.13
