paraphrase idx,falcon-7b-instruct_acc,mpt-7b-instruct_acc,flan-t5-xl_acc,flan-t5-xxl_acc,t0pp_acc,alpaca-13b_acc,airoboros-13b_acc,nous-hermes-13b_acc,ultralm-13b_acc,vicuna-13b_acc,minotaur-15b_acc
1,0.27,0.23,0.51,0.52,0.19,0.35,0.55,0.2,0.63,0.65,0.01
2,0.23,0.27,0.55,0.53,0.16,0.35,0.53,0.19,0.71,0.59,0.03
3,0.25,0.22,0.5,0.59,0.19,0.36,0.59,0.09,0.72,0.64,0.02
4,0.21,0.28,0.47,0.62,0.2,0.38,0.53,0.04,0.66,0.6,0.02
5,0.2,0.3,0.48,0.53,0.18,0.33,0.59,0.12,0.71,0.65,0.01
6,0.25,0.18,0.51,0.55,0.18,0.35,0.62,0.09,0.72,0.51,0.01
7,0.25,0.21,0.54,0.57,0.12,0.38,0.57,0.26,0.71,0.52,0.0
8,0.22,0.23,0.54,0.63,0.21,0.38,0.56,0.11,0.69,0.57,0.04
9,0.23,0.25,0.5,0.51,0.2,0.38,0.61,0.29,0.73,0.63,0.09
10,0.25,0.23,0.5,0.56,0.19,0.34,0.62,0.13,0.67,0.59,0.0
11,0.21,0.23,0.49,0.58,0.14,0.34,0.57,0.18,0.77,0.64,0.02
12,0.21,0.21,0.5,0.57,0.18,0.38,0.57,0.08,0.66,0.63,0.0
13,0.24,0.24,0.51,0.51,0.18,0.36,0.53,0.04,0.67,0.65,0.01
14,0.24,0.18,0.51,0.53,0.2,0.36,0.61,0.22,0.68,0.58,0.01
15,0.21,0.22,0.54,0.57,0.12,0.33,0.59,0.09,0.65,0.64,0.01
16,0.22,0.39,0.47,0.65,0.13,0.4,0.53,0.43,0.0,0.61,0.2
17,0.24,0.24,0.43,0.6,0.22,0.37,0.53,0.11,0.73,0.61,0.0
18,0.22,0.25,0.48,0.55,0.13,0.39,0.61,0.08,0.66,0.63,0.0
19,0.21,0.21,0.44,0.6,0.18,0.37,0.58,0.13,0.7,0.61,0.02
20,0.2,0.22,0.48,0.51,0.17,0.34,0.56,0.13,0.73,0.67,0.02
21,0.18,0.25,0.56,0.57,0.17,0.33,0.47,0.43,0.61,0.63,0.15
22,0.21,0.24,0.52,0.63,0.21,0.32,0.51,0.06,0.61,0.61,0.02
23,0.23,0.24,0.47,0.55,0.2,0.33,0.55,0.09,0.74,0.61,0.01
24,0.22,0.25,0.44,0.58,0.2,0.39,0.56,0.09,0.7,0.59,0.0
25,0.25,0.31,0.46,0.67,0.11,0.35,0.56,0.15,0.71,0.61,0.0
