paraphrase idx,falcon-7b-instruct_acc,mpt-7b-instruct_acc,flan-t5-xl_acc,flan-t5-xxl_acc,t0pp_acc,alpaca-13b_acc,airoboros-13b_acc,nous-hermes-13b_acc,ultralm-13b_acc,vicuna-13b_acc,minotaur-15b_acc
1,0.61,0.17,0.52,0.59,0.57,0.52,0.0,0.57,0.03,0.52,0.0
2,0.44,0.01,0.55,0.54,0.56,0.41,0.41,0.57,0.02,0.52,0.0
3,0.45,0.05,0.56,0.56,0.56,0.43,0.44,0.58,0.01,0.53,0.01
4,0.43,0.06,0.44,0.61,0.54,0.44,0.29,0.56,0.02,0.46,0.0
5,0.44,0.02,0.56,0.56,0.54,0.43,0.4,0.59,0.02,0.4,0.0
6,0.5,0.05,0.57,0.6,0.57,0.43,0.49,0.53,0.03,0.57,0.01
7,0.47,0.04,0.5,0.61,0.52,0.46,0.37,0.52,0.03,0.46,0.0
8,0.43,0.01,0.54,0.65,0.55,0.43,0.34,0.58,0.02,0.46,0.0
9,0.56,0.03,0.55,0.56,0.54,0.52,0.35,0.56,0.02,0.61,0.0
10,0.58,0.01,0.56,0.58,0.62,0.5,0.29,0.57,0.03,0.61,0.0
11,0.53,0.04,0.52,0.6,0.6,0.44,0.41,0.56,0.03,0.54,0.0
12,0.42,0.03,0.57,0.66,0.55,0.4,0.4,0.56,0.02,0.47,0.0
13,0.46,0.03,0.56,0.59,0.58,0.53,0.37,0.58,0.03,0.45,0.0
14,0.47,0.02,0.6,0.6,0.57,0.41,0.41,0.55,0.03,0.49,0.0
15,0.43,0.04,0.51,0.54,0.49,0.46,0.48,0.56,0.03,0.54,0.0
16,0.37,0.03,0.58,0.6,0.56,0.46,0.41,0.55,0.03,0.56,0.0
17,0.44,0.05,0.46,0.58,0.55,0.44,0.39,0.55,0.03,0.45,0.0
18,0.53,0.02,0.57,0.59,0.6,0.48,0.43,0.51,0.02,0.51,0.0
19,0.48,0.0,0.57,0.61,0.57,0.47,0.46,0.57,0.02,0.56,0.01
20,0.52,0.02,0.58,0.58,0.56,0.51,0.46,0.57,0.03,0.66,0.0
21,0.43,0.05,0.49,0.6,0.58,0.44,0.4,0.58,0.01,0.47,0.0
22,0.54,0.06,0.57,0.56,0.59,0.51,0.41,0.45,0.04,0.49,0.0
23,0.53,0.09,0.59,0.59,0.53,0.47,0.5,0.56,0.03,0.49,0.02
24,0.43,0.03,0.57,0.59,0.64,0.46,0.42,0.56,0.03,0.53,0.0
25,0.45,0.04,0.53,0.6,0.51,0.4,0.35,0.55,0.01,0.44,0.0
26,0.45,0.03,0.52,0.52,0.57,0.34,0.44,0.59,0.03,0.51,0.0
27,0.6,0.07,0.5,0.62,0.53,0.58,0.01,0.57,0.03,0.5,0.0
28,0.48,0.13,0.57,0.68,0.59,0.57,0.0,0.57,0.03,0.49,0.0
29,0.57,0.11,0.47,0.67,0.58,0.59,0.0,0.57,0.04,0.45,0.0
30,0.63,0.16,0.51,0.61,0.56,0.57,0.0,0.57,0.02,0.43,0.0
31,0.49,0.03,0.57,0.59,0.57,0.53,0.24,0.56,0.03,0.5,0.01
