paraphrase idx,falcon-7b-instruct_acc,mpt-7b-instruct_acc,flan-t5-xl_acc,flan-t5-xxl_acc,t0pp_acc,alpaca-13b_acc,airoboros-13b_acc,nous-hermes-13b_acc,ultralm-13b_acc,vicuna-13b_acc,minotaur-15b_acc
1,0.5,0.41,0.69,0.69,0.1,0.5,0.43,0.46,0.04,0.65,0.0
2,0.47,0.49,0.73,0.66,0.07,0.51,0.56,0.59,0.0,0.67,0.01
3,0.5,0.53,0.6,0.65,0.07,0.51,0.48,0.06,0.03,0.75,0.08
4,0.51,0.41,0.66,0.68,0.07,0.53,0.5,0.59,0.0,0.64,0.0
5,0.48,0.52,0.66,0.66,0.08,0.51,0.46,0.33,0.0,0.67,0.03
6,0.52,0.5,0.72,0.77,0.07,0.52,0.49,0.28,0.0,0.66,0.01
7,0.49,0.5,0.68,0.67,0.07,0.53,0.5,0.0,0.0,0.68,0.06
8,0.55,0.45,0.64,0.67,0.06,0.51,0.47,0.25,0.03,0.73,0.11
9,0.5,0.5,0.66,0.68,0.08,0.52,0.49,0.19,0.0,0.65,0.04
10,0.51,0.44,0.62,0.75,0.07,0.55,0.51,0.38,0.01,0.68,0.0
11,0.49,0.49,0.65,0.7,0.08,0.52,0.47,0.35,0.06,0.61,0.0
12,0.53,0.48,0.63,0.66,0.07,0.5,0.49,0.54,0.02,0.69,0.07
13,0.5,0.4,0.51,0.68,0.07,0.49,0.48,0.53,0.38,0.65,0.17
14,0.5,0.52,0.62,0.67,0.06,0.51,0.47,0.12,0.03,0.66,0.01
15,0.51,0.46,0.61,0.63,0.05,0.51,0.45,0.18,0.49,0.66,0.02
16,0.5,0.49,0.64,0.65,0.06,0.51,0.51,0.1,0.0,0.75,0.15
17,0.49,0.5,0.7,0.63,0.1,0.51,0.48,0.06,0.05,0.74,0.08
18,0.49,0.53,0.65,0.72,0.08,0.52,0.47,0.09,0.0,0.72,0.02
19,0.48,0.53,0.61,0.75,0.08,0.52,0.45,0.46,0.01,0.65,0.02
20,0.51,0.38,0.56,0.74,0.07,0.48,0.46,0.53,0.27,0.61,0.19
21,0.5,0.46,0.65,0.74,0.07,0.51,0.52,0.11,0.0,0.62,0.01
22,0.51,0.5,0.67,0.74,0.07,0.52,0.5,0.55,0.02,0.64,0.12
23,0.5,0.46,0.6,0.7,0.07,0.52,0.48,0.47,0.05,0.57,0.02
24,0.49,0.2,0.68,0.73,0.08,0.51,0.42,0.39,0.06,0.59,0.0
25,0.5,0.36,0.69,0.74,0.02,0.53,0.47,0.35,0.13,0.57,0.0
26,0.49,0.27,0.7,0.72,0.09,0.52,0.44,0.17,0.01,0.61,0.0
27,0.5,0.36,0.6,0.74,0.17,0.5,0.5,0.4,0.39,0.58,0.0
28,0.48,0.44,0.63,0.74,0.16,0.49,0.45,0.49,0.04,0.55,0.0
29,0.52,0.37,0.6,0.66,0.12,0.49,0.5,0.29,0.12,0.62,0.0
30,0.53,0.4,0.65,0.71,0.15,0.49,0.43,0.38,0.01,0.63,0.0
31,0.52,0.3,0.58,0.63,0.15,0.5,0.45,0.28,0.16,0.58,0.0
