paraphrase idx,falcon-7b-instruct_acc,mpt-7b-instruct_acc,flan-t5-xl_acc,flan-t5-xxl_acc,t0pp_acc,alpaca-13b_acc,airoboros-13b_acc,nous-hermes-13b_acc,ultralm-13b_acc,vicuna-13b_acc,minotaur-15b_acc
1,0.57,0.07,0.54,0.56,0.56,0.55,0.3,0.56,0.52,0.64,0.0
2,0.56,0.43,0.58,0.58,0.56,0.63,0.65,0.64,0.72,0.7,0.01
3,0.56,0.42,0.56,0.61,0.56,0.57,0.66,0.67,0.71,0.67,0.0
4,0.62,0.15,0.68,0.61,0.58,0.6,0.31,0.28,0.52,0.66,0.0
5,0.56,0.43,0.55,0.58,0.56,0.63,0.67,0.62,0.71,0.68,0.01
6,0.62,0.09,0.64,0.61,0.56,0.59,0.43,0.61,0.55,0.67,0.0
7,0.6,0.41,0.49,0.49,0.56,0.57,0.53,0.59,0.61,0.63,0.0
8,0.6,0.07,0.61,0.54,0.56,0.59,0.49,0.54,0.53,0.66,0.0
9,0.62,0.16,0.62,0.61,0.58,0.63,0.28,0.62,0.55,0.67,0.0
10,0.54,0.39,0.54,0.57,0.55,0.6,0.66,0.63,0.7,0.72,0.02
11,0.62,0.2,0.61,0.57,0.55,0.61,0.26,0.6,0.55,0.65,0.0
12,0.18,0.12,0.6,0.58,0.57,0.43,0.18,0.1,0.45,0.73,0.0
13,0.58,0.12,0.58,0.59,0.56,0.66,0.03,0.07,0.31,0.69,0.0
14,0.57,0.14,0.65,0.56,0.59,0.63,0.33,0.04,0.37,0.69,0.0
15,0.58,0.13,0.62,0.55,0.59,0.59,0.32,0.6,0.58,0.64,0.0
16,0.56,0.25,0.31,0.57,0.55,0.42,0.5,0.19,0.53,0.66,0.0
17,0.63,0.07,0.57,0.59,0.46,0.51,0.52,0.59,0.39,0.67,0.05
18,0.63,0.1,0.62,0.56,0.56,0.61,0.01,0.19,0.49,0.69,0.0
19,0.55,0.27,0.5,0.5,0.55,0.62,0.68,0.61,0.48,0.62,0.0
20,0.56,0.1,0.56,0.63,0.57,0.56,0.5,0.58,0.56,0.67,0.0
21,0.56,0.05,0.64,0.6,0.57,0.62,0.33,0.45,0.52,0.65,0.0
22,0.6,0.15,0.57,0.6,0.58,0.61,0.34,0.61,0.59,0.66,0.0
23,0.57,0.37,0.51,0.54,0.55,0.55,0.64,0.68,0.56,0.66,0.01
24,0.57,0.41,0.52,0.6,0.56,0.61,0.65,0.64,0.75,0.72,0.0
25,0.56,0.42,0.59,0.57,0.55,0.53,0.64,0.63,0.64,0.69,0.01
