paraphrase idx,t0_3b_acc,t0pp_acc,alpaca-7b_acc,alpaca-13b_acc,flan-t5-small_acc,flan-t5-base_acc,flan-t5-large_acc,flan-t5-xl_acc,flan-t5-xxl_acc
default,0.630208313,0.56525737,0.436580896,0.555147052,0.630821078,0.630821049,0.630821078,0.571997549,0.628370098
p1,0.630208313,0.570465684,0.476102948,0.452818632,0.630821078,0.630821049,0.630821078,0.540747549,0.621323529
p2,,0.554227948,0.40625,0.371936262,0.477634817,0.391237736,0.479166667,0.496936275,0.504595588
p3,0.63204658,0.618566155,0.480392158,0.387867659,0.621629902,0.584865212,0.516237745,0.461090686,0.555453431
p4,,0.469362736,0.369485289,0.44454658,0.630821078,0.630821049,0.630514706,0.56127451,0.580882353
p5,0.369178921,0.471813738,0.378982842,0.369178921,0.630821078,0.630821049,0.630208333,0.435355392,0.515931373
p6,,0.55116421,0.375612736,0.377144605,0.630821078,0.630821049,0.629289216,0.619178922,0.624693627
p7,0.630208313,0.623774529,0.422181368,0.374387264,0.630514706,0.630821049,0.592830882,0.440563725,0.578125
p8,0.631127477,0.630821049,0.630821049,0.631127477,0.629901961,0.630821049,0.629289216,0.630514706,0.630514706
p9,0.612745106,0.630514681,0.369178921,0.369178921,0.630821078,0.369178921,0.409926471,0.488357843,0.581495098
p10,,0.380821079,0.369791657,0.387254894,0.629901946,0.427389711,0.526960784,0.579963235,0.569546569
