paraphrase idx,t0_3b_acc,t0pp_acc,alpaca-7b_acc,alpaca-13b_acc,flan-t5-small_acc,flan-t5-base_acc,flan-t5-large_acc,flan-t5-xl_acc,flan-t5-xxl_acc
default,,0.534497797,0.557055771,0.627613246,0.53231442,0.496069878,0.530131004,0.52139738,0.53231441
p1,0.53231442,0.548034906,0.467334509,0.609320581,0.53231441,0.535807848,0.527947598,0.596069869,0.569432314
p2,,0.537117898,0.578832746,0.624128938,0.518340611,0.534934521,0.522270742,0.52139738,0.530567686
p3,0.531441033,0.55720526,0.550958216,0.627613246,0.529257642,0.537554562,0.518777293,0.7,0.633187773
p4,,0.537117898,0.571864128,0.634581864,0.510480349,0.517903924,0.518777293,0.517467249,0.537554585
p5,0.495633185,0.54978168,0.58449477,0.60496515,0.493886463,0.526200891,0.585152838,0.649344978,0.662882096
p6,0.532751083,0.54978168,0.501742184,0.599303126,0.531441048,0.537117898,0.540174672,0.68209607,0.667248908
p7,0.531877756,0.547598243,0.495644599,0.59277004,0.530567686,0.531877756,0.60349345,0.676855895,0.574672489
p8,,0.548034906,0.53222996,0.602787435,0.53231442,0.5423581,0.528384279,0.596069869,0.553275109
p9,0.532751083,0.555895209,0.494337976,0.572299659,0.513537118,0.535371184,0.58558952,0.684716157,0.699126638
