paraphrase idx,t0_3b_acc,t0pp_acc,alpaca-7b_acc,alpaca-13b_acc,flan-t5-small_acc,flan-t5-base_acc,flan-t5-large_acc,flan-t5-xl_acc,flan-t5-xxl_acc
default,0.582351625,0.695891559,0.135316074,0.135627016,0.409233921,0.647508621,0.362314334,0.804766953,0.820278764
1,,0.689507544,0.132938251,0.135169744,0.369997073,0.649740279,0.363869174,0.799004912,0.816784978
2,0.558681488,0.692891657,0.133889377,0.137712181,0.414282578,0.606223047,0.359369284,0.79079169,0.817406893
3,,0.635399163,0.230318993,0.143638432,0.476220101,0.508762002,0.374789639,0.691080689,0.78201139
4,0.567827642,0.71112901,0.13288337,0.133212611,0.399356113,0.661739945,0.360887539,0.805041313,0.81373018
5,,0.684093058,0.241458148,0.332656562,0.384411356,0.663550913,0.36833248,0.81826663,0.801767051
6,0.582900405,0.692489207,0.144022539,0.309610039,0.387575913,0.661648512,0.36760079,0.799919486,0.802242637
7,,0.708202243,0.241458148,0.332656562,0.369082461,0.64862442,0.34436965,0.798840284,0.802078009
8,0.577741981,0.70522058,0.132791921,0.132791921,0.372448233,0.653087735,0.364381357,0.800175607,0.80961442
9,,0.65343529,0.23520267,0.579272747,0.496872028,0.600479245,0.371240945,0.751207292,0.766993463
10,0.593528211,0.669349551,0.234416157,0.228508189,0.412160679,0.63022244,0.368936124,0.792181909,0.7914868
