paraphrase idx,t0_3b_acc,t0pp_acc,falcon-7b-instruct_acc,mpt-7b-instruct_acc,alpaca-7b_acc,alpaca-13b_acc,flan-t5-base_acc,flan-t5-small_acc,flan-t5-large_acc,flan-t5-xl_acc,flan-t5-xxl_acc,airoboros-13b_acc,nous-hermes-13b_acc,ultralm-13b_acc,vicuna-13b_acc,minotaur-15b_acc
1,0.45,0.91,0.48,0.0,0.46,0.59,0.49,0.47,0.6,0.85,0.94,0.63,0.89,0.57,0.68,0.56
2,0.52,0.94,0.63,0.0,0.57,0.57,0.48,0.58,0.56,0.82,0.86,0.55,0.86,0.56,0.61,0.15
3,0.44,0.84,0.52,0.0,0.45,0.57,0.51,0.56,0.56,0.72,0.96,0.55,0.71,0.56,0.63,0.06
4,0.58,0.96,0.44,0.46,0.0,0.0,0.48,0.51,0.57,0.81,0.86,0.7,0.47,0.6,0.02,0.48
5,0.53,0.72,0.56,0.41,0.0,0.0,0.44,0.59,0.57,0.72,0.85,0.56,0.76,0.56,0.0,0.42
6,0.49,0.83,0.47,0.42,0.04,0.0,0.5,0.45,0.61,0.79,0.87,0.3,0.44,0.65,0.0,0.37
7,0.62,0.63,0.63,0.48,0.0,0.0,0.55,0.52,0.59,0.74,0.65,0.5,0.44,0.67,0.02,0.44
8,0.52,0.6,0.43,0.45,0.0,0.0,0.42,0.43,0.56,0.44,0.58,0.52,0.44,0.56,0.05,0.38
9,0.57,0.85,0.59,0.43,0.01,0.0,0.42,0.54,0.57,0.79,0.85,0.64,0.47,0.59,0.07,0.32
10,0.5,0.86,0.6,0.44,0.0,0.0,0.45,0.52,0.56,0.76,0.64,0.52,0.44,0.61,0.12,0.33
11,0.56,0.61,0.54,0.48,0.01,0.0,0.45,0.56,0.58,0.75,0.63,0.55,0.44,0.6,0.05,0.42
12,0.63,0.9,0.58,0.55,0.0,0.0,0.58,0.61,0.56,0.73,0.86,0.57,0.77,0.56,0.03,0.69
13,0.69,0.96,0.56,0.57,0.01,0.0,0.5,0.61,0.56,0.69,0.91,0.67,0.83,0.56,0.02,0.62
