paraphrase idx,t0_3b_acc,t0pp_acc,falcon-7b-instruct_acc,mpt-7b-instruct_acc,alpaca-7b_acc,alpaca-13b_acc,flan-t5-base_acc,flan-t5-small_acc,flan-t5-large_acc,flan-t5-xl_acc,flan-t5-xxl_acc,airoboros-13b_acc,nous-hermes-13b_acc,ultralm-13b_acc,vicuna-13b_acc,minotaur-15b_acc
1,0.53,0.53,0.56,0.0,0.53,0.64,0.55,0.57,0.57,0.53,0.54,0.49,0.53,0.55,0.54,0.37
2,0.53,0.53,0.58,0.0,0.53,0.71,0.52,0.59,0.83,0.53,0.74,0.58,0.53,0.65,0.63,0.1
3,0.53,0.53,0.59,0.0,0.53,0.76,0.54,0.79,0.95,0.9,0.98,0.65,0.54,0.37,0.54,0.13
4,0.53,0.53,0.54,0.29,0.0,0.0,0.52,0.54,0.58,0.55,0.7,0.05,0.53,0.61,0.04,0.15
5,0.53,0.53,0.67,0.49,0.0,0.0,0.56,0.67,0.58,0.53,0.53,0.53,0.53,0.57,0.02,0.46
6,0.53,0.53,0.62,0.28,0.0,0.0,0.5,0.56,0.71,0.53,0.61,0.0,0.53,0.61,0.07,0.16
7,0.53,0.53,0.55,0.41,0.0,0.0,0.54,0.53,0.73,0.61,0.69,0.01,0.53,0.56,0.0,0.24
8,0.55,0.53,0.59,0.37,0.0,0.0,0.55,0.63,0.59,0.53,0.53,0.47,0.53,0.53,0.01,0.39
9,0.53,0.53,0.51,0.32,0.0,0.0,0.55,0.55,0.69,0.55,0.79,0.26,0.53,0.52,0.04,0.28
10,0.53,0.53,0.51,0.36,0.0,0.0,0.5,0.54,0.62,0.53,0.63,0.18,0.53,0.54,0.06,0.18
11,0.47,0.53,0.49,0.29,0.0,0.0,0.55,0.56,0.7,0.53,0.65,0.01,0.53,0.65,0.06,0.19
12,0.55,0.53,0.53,0.46,0.0,0.0,0.47,0.55,0.72,0.54,0.81,0.24,0.53,0.6,0.06,0.38
13,0.53,0.53,0.48,0.42,0.0,0.0,0.57,0.56,0.63,0.57,0.77,0.09,0.53,0.6,0.02,0.26
14,0.51,0.53,0.48,0.39,0.0,0.0,0.53,0.42,0.65,0.52,0.55,0.0,0.53,0.47,0.0,0.32
15,0.53,0.53,0.54,0.54,0.0,0.0,0.62,0.55,0.69,0.53,0.71,0.14,0.53,0.66,0.01,0.29
16,0.53,0.53,0.57,0.57,0.01,0.0,0.44,0.53,0.7,0.54,0.79,0.21,0.53,0.67,0.03,0.37
17,0.53,0.53,0.55,0.52,0.0,0.0,0.46,0.55,0.66,0.54,0.79,0.18,0.53,0.56,0.13,0.38
18,0.53,0.53,0.58,0.57,0.0,0.0,0.54,0.51,0.72,0.53,0.71,0.47,0.53,0.5,0.0,0.45
19,0.55,0.53,0.7,0.13,0.01,0.0,0.53,0.69,0.84,0.53,0.69,0.54,0.53,0.72,0.0,0.51
20,0.53,0.54,0.46,0.36,0.0,0.0,0.58,0.6,0.82,0.63,0.91,0.46,0.53,0.47,0.0,0.29
21,0.59,0.53,0.42,0.41,0.0,0.0,0.49,0.53,0.84,0.63,0.96,0.57,0.53,0.47,0.0,0.51
22,0.54,0.54,0.41,0.47,0.0,0.0,0.54,0.59,0.83,0.59,0.97,0.69,0.53,0.47,0.0,0.53
23,0.55,0.53,0.67,0.54,0.01,0.0,0.48,0.78,0.96,0.89,0.96,0.66,0.53,0.62,0.0,0.41
24,0.53,0.53,0.5,0.42,0.0,0.0,0.46,0.52,0.82,0.62,0.97,0.6,0.53,0.47,0.0,0.5
25,0.53,0.55,0.47,0.57,0.0,0.0,0.49,0.68,0.82,0.75,1.0,0.58,0.53,0.47,0.0,0.26
26,0.55,0.55,0.45,0.37,0.0,0.0,0.48,0.54,0.88,0.6,0.94,0.61,0.53,0.47,0.0,0.48
27,0.54,0.54,0.39,0.62,0.0,0.0,0.54,0.55,0.84,0.85,0.95,0.39,0.53,0.5,0.01,0.45
28,0.54,0.53,0.62,0.25,0.0,0.0,0.52,0.74,0.81,0.53,0.68,0.28,0.53,0.67,0.0,0.51
29,0.52,0.53,0.69,0.04,0.0,0.0,0.52,0.77,0.88,0.53,0.67,0.5,0.53,0.59,0.0,0.53
30,0.57,0.53,0.7,0.24,0.0,0.0,0.54,0.81,0.78,0.53,0.62,0.55,0.53,0.76,0.02,0.5
31,0.54,0.53,0.76,0.24,0.0,0.0,0.51,0.79,0.76,0.53,0.69,0.51,0.53,0.78,0.0,0.51
32,0.51,0.53,0.64,0.13,0.0,0.0,0.56,0.72,0.84,0.53,0.63,0.54,0.53,0.6,0.0,0.51
33,0.48,0.53,0.66,0.11,0.01,0.0,0.54,0.75,0.81,0.53,0.57,0.46,0.53,0.59,0.0,0.52
34,0.53,0.53,0.55,0.28,0.0,0.0,0.55,0.55,0.79,0.54,0.54,0.19,0.53,0.52,0.02,0.21
35,0.57,0.53,0.75,0.28,0.0,0.0,0.55,0.72,0.77,0.53,0.7,0.27,0.53,0.7,0.03,0.5
36,0.52,0.53,0.7,0.17,0.0,0.0,0.52,0.69,0.87,0.53,0.6,0.44,0.53,0.78,0.0,0.49
37,0.49,0.53,0.7,0.14,0.0,0.0,0.53,0.76,0.84,0.53,0.65,0.55,0.53,0.81,0.0,0.5
38,0.52,0.48,0.26,0.47,0.0,0.0,0.5,0.46,0.57,0.5,0.49,0.0,0.46,0.03,0.0,0.01
39,0.5,0.53,0.72,0.25,0.0,0.0,0.54,0.73,0.87,0.53,0.55,0.27,0.53,0.52,0.0,0.47
40,0.53,0.53,0.75,0.22,0.0,0.0,0.57,0.68,0.84,0.53,0.78,0.44,0.53,0.69,0.0,0.47
41,0.5,0.48,0.59,0.42,0.0,0.0,0.54,0.45,0.44,0.45,0.52,0.0,0.51,0.44,0.0,0.0
42,0.5,0.53,0.6,0.11,0.0,0.0,0.54,0.75,0.91,0.54,0.59,0.09,0.53,0.55,0.0,0.45
43,0.51,0.53,0.45,0.4,0.0,0.0,0.56,0.52,0.54,0.55,0.67,0.0,0.53,0.47,0.0,0.33
44,0.56,0.53,0.62,0.19,0.0,0.0,0.48,0.75,0.89,0.56,0.99,0.19,0.53,0.62,0.0,0.42
45,0.54,0.53,0.76,0.35,0.02,0.0,0.56,0.77,0.94,0.8,0.98,0.83,0.53,0.6,0.0,0.49
46,0.54,0.53,0.46,0.18,0.0,0.0,0.61,0.73,0.81,0.66,0.94,0.42,0.53,0.52,0.0,0.5
47,0.53,0.53,0.71,0.33,0.0,0.0,0.51,0.83,0.93,0.85,0.98,0.47,0.53,0.56,0.0,0.48
48,0.53,0.53,0.8,0.13,0.0,0.0,0.51,0.79,0.95,0.71,1.0,0.09,0.53,0.38,0.0,0.17
49,0.56,0.56,0.44,0.47,0.0,0.0,0.56,0.68,0.88,0.78,0.97,0.21,0.53,0.47,0.0,0.42
50,0.54,0.53,0.75,0.27,0.0,0.0,0.59,0.82,0.98,0.84,0.98,0.53,0.53,0.58,0.0,0.44
51,0.54,0.53,0.7,0.29,0.0,0.0,0.55,0.83,0.95,0.84,0.99,0.89,0.53,0.54,0.0,0.44
52,0.53,0.53,0.59,0.31,0.0,0.0,0.47,0.72,0.89,0.57,0.68,0.01,0.53,0.79,0.05,0.49
53,0.55,0.53,0.84,0.21,0.0,0.0,0.53,0.78,0.86,0.53,0.87,0.36,0.53,0.57,0.0,0.47
54,0.54,0.53,0.7,0.24,0.0,0.0,0.58,0.71,0.63,0.56,0.61,0.07,0.53,0.44,0.0,0.37
55,0.56,0.53,0.7,0.32,0.0,0.0,0.51,0.69,0.81,0.55,0.73,0.34,0.53,0.74,0.0,0.48
56,0.53,0.53,0.5,0.4,0.0,0.0,0.5,0.7,0.76,0.64,0.9,0.0,0.52,0.48,0.0,0.19
