paraphrase idx,t0_3b_acc,t0pp_acc,falcon-7b-instruct_acc,mpt-7b-instruct_acc,alpaca-7b_acc,alpaca-13b_acc,flan-t5-small_acc,flan-t5-base_acc,flan-t5-large_acc,flan-t5-xl_acc,flan-t5-xxl_acc,airoboros-13b_acc,nous-hermes-13b_acc,ultralm-13b_acc,vicuna-13b_acc,minotaur-15b_acc
1,0.34,0.42,0.11,0.0,0.01,0.24,0.3,0.2,0.46,0.55,0.76,0.0,0.0,0.01,0.0,0.0
2,0.26,0.42,0.39,0.0,0.11,0.4,0.18,0.35,0.57,0.47,0.72,0.26,0.12,0.09,0.47,0.0
3,0.39,0.4,0.25,0.0,0.4,0.31,0.33,0.38,0.56,0.63,0.79,0.0,0.01,0.0,0.0,0.0
4,0.3,0.42,0.01,0.25,0.0,0.0,0.29,0.29,0.45,0.43,0.71,0.28,0.07,0.02,0.0,0.0
5,0.28,0.44,0.16,0.03,0.0,0.03,0.33,0.23,0.42,0.47,0.72,0.2,0.0,0.0,0.01,0.0
6,0.3,0.42,0.08,0.12,0.0,0.01,0.31,0.22,0.33,0.45,0.7,0.42,0.13,0.05,0.0,0.0
7,0.34,0.47,0.0,0.24,0.0,0.0,0.29,0.29,0.5,0.43,0.72,0.19,0.08,0.05,0.0,0.0
8,0.33,0.42,0.0,0.0,0.0,0.0,0.36,0.28,0.54,0.47,0.73,0.07,0.0,0.0,0.0,0.0
9,0.29,0.42,0.0,0.32,0.0,0.0,0.28,0.33,0.35,0.53,0.72,0.3,0.0,0.03,0.0,0.0
10,0.26,0.36,0.01,0.39,0.0,0.0,0.26,0.32,0.37,0.51,0.7,0.5,0.12,0.1,0.01,0.0
11,0.36,0.44,0.23,0.1,0.11,0.0,0.39,0.34,0.43,0.52,0.75,0.37,0.0,0.0,0.02,0.0
12,0.4,0.44,0.01,0.01,0.0,0.0,0.26,0.33,0.54,0.53,0.81,0.34,0.0,0.0,0.0,0.0
13,0.31,0.43,0.0,0.0,0.01,0.0,0.12,0.34,0.44,0.45,0.75,0.35,0.0,0.0,0.0,0.0
14,0.3,0.47,0.0,0.01,0.0,0.01,0.16,0.35,0.41,0.44,0.72,0.19,0.0,0.0,0.01,0.0
15,0.32,0.41,0.01,0.0,0.0,0.0,0.17,0.28,0.42,0.5,0.76,0.38,0.0,0.0,0.0,0.0
16,0.37,0.48,0.02,0.0,0.0,0.0,0.32,0.31,0.53,0.51,0.8,0.27,0.0,0.0,0.0,0.0
17,0.34,0.45,0.0,0.0,0.0,0.0,0.36,0.25,0.51,0.53,0.78,0.15,0.0,0.0,0.0,0.0
