paraphrase idx,t0_3b_acc,t0pp_acc,falcon-7b-instruct_acc,mpt-7b-instruct_acc,alpaca-7b_acc,alpaca-13b_acc,flan-t5-small_acc,flan-t5-base_acc,flan-t5-large_acc,flan-t5-xl_acc,flan-t5-xxl_acc,airoboros-13b_acc,nous-hermes-13b_acc,ultralm-13b_acc,vicuna-13b_acc,minotaur-15b_acc
1,0.44,0.56,0.49,0.58,0.53,0.6,0.44,0.42,0.54,0.66,0.75,0.41,0.42,0.61,0.69,0.61
2,0.44,0.54,0.47,0.47,0.51,0.57,0.44,0.42,0.41,0.53,0.6,0.47,0.72,0.3,0.65,0.64
3,0.47,0.48,0.52,0.08,0.44,0.58,0.4,0.48,0.53,0.61,0.74,0.44,0.64,0.56,0.53,0.35
4,0.5,0.54,0.01,0.32,0.01,0.0,0.43,0.38,0.48,0.55,0.75,0.06,0.2,0.2,0.0,0.02
5,0.49,0.5,0.04,0.15,0.01,0.01,0.45,0.42,0.51,0.52,0.78,0.04,0.13,0.2,0.0,0.08
6,0.45,0.6,0.35,0.36,0.04,0.04,0.37,0.37,0.61,0.6,0.67,0.41,0.44,0.24,0.11,0.14
7,0.54,0.54,0.36,0.39,0.17,0.1,0.41,0.37,0.63,0.53,0.76,0.0,0.07,0.0,0.0,0.0
8,0.44,0.55,0.02,0.29,0.01,0.01,0.42,0.43,0.48,0.5,0.73,0.02,0.0,0.0,0.01,0.02
9,0.54,0.6,0.04,0.37,0.02,0.01,0.5,0.47,0.51,0.59,0.74,0.13,0.28,0.24,0.01,0.12
10,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.02,0.02,0.01,0.0,0.0,0.0,0.0,0.0
11,0.45,0.6,0.0,0.22,0.04,0.01,0.41,0.46,0.47,0.54,0.71,0.01,0.07,0.12,0.01,0.02
12,0.46,0.61,0.38,0.52,0.46,0.14,0.37,0.39,0.57,0.52,0.64,0.48,0.62,0.05,0.03,0.52
13,0.48,0.63,0.52,0.53,0.31,0.08,0.42,0.45,0.57,0.56,0.65,0.55,0.62,0.12,0.2,0.61
14,0.39,0.55,0.49,0.51,0.38,0.04,0.39,0.39,0.52,0.51,0.65,0.42,0.4,0.01,0.01,0.21
15,0.33,0.54,0.42,0.56,0.26,0.14,0.44,0.43,0.49,0.62,0.7,0.19,0.63,0.03,0.01,0.02
16,0.25,0.57,0.05,0.52,0.45,0.14,0.44,0.37,0.49,0.52,0.6,0.36,0.17,0.0,0.0,0.0
17,0.47,0.57,0.15,0.32,0.0,0.01,0.34,0.4,0.47,0.54,0.7,0.0,0.0,0.0,0.02,0.0
18,0.49,0.59,0.44,0.49,0.06,0.22,0.41,0.4,0.53,0.6,0.61,0.5,0.74,0.18,0.32,0.64
19,0.16,0.57,0.09,0.06,0.03,0.02,0.4,0.29,0.42,0.44,0.66,0.01,0.0,0.0,0.0,0.02
20,0.42,0.56,0.02,0.2,0.0,0.0,0.46,0.39,0.5,0.57,0.66,0.22,0.0,0.11,0.0,0.06
21,0.5,0.62,0.05,0.19,0.0,0.03,0.42,0.43,0.52,0.63,0.69,0.11,0.0,0.16,0.02,0.02
22,0.48,0.46,0.0,0.18,0.0,0.0,0.39,0.39,0.54,0.52,0.71,0.03,0.0,0.0,0.0,0.0
23,0.47,0.55,0.0,0.36,0.0,0.0,0.42,0.43,0.48,0.57,0.74,0.37,0.02,0.4,0.0,0.03
24,0.5,0.55,0.02,0.15,0.01,0.0,0.44,0.43,0.54,0.56,0.62,0.16,0.0,0.0,0.03,0.01
25,0.5,0.54,0.03,0.31,0.0,0.0,0.31,0.32,0.49,0.56,0.76,0.1,0.13,0.08,0.0,0.04
26,0.49,0.57,0.06,0.03,0.0,0.01,0.43,0.43,0.47,0.59,0.76,0.05,0.0,0.06,0.0,0.03
27,0.48,0.57,0.12,0.17,0.0,0.03,0.42,0.36,0.43,0.56,0.73,0.09,0.0,0.12,0.02,0.0
28,0.49,0.53,0.32,0.34,0.04,0.16,0.37,0.36,0.59,0.6,0.72,0.0,0.19,0.04,0.0,0.0
29,0.38,0.54,0.34,0.39,0.06,0.12,0.37,0.41,0.6,0.56,0.73,0.0,0.24,0.09,0.0,0.01
30,0.53,0.58,0.31,0.36,0.01,0.03,0.41,0.43,0.61,0.67,0.72,0.36,0.41,0.25,0.08,0.17
31,0.51,0.61,0.19,0.14,0.01,0.0,0.42,0.44,0.54,0.55,0.62,0.01,0.0,0.08,0.03,0.01
32,0.48,0.51,0.14,0.53,0.07,0.09,0.38,0.39,0.56,0.67,0.75,0.34,0.47,0.38,0.12,0.09
33,0.5,0.5,0.02,0.21,0.09,0.0,0.36,0.45,0.48,0.57,0.72,0.01,0.11,0.1,0.0,0.01
34,0.36,0.54,0.47,0.01,0.0,0.12,0.42,0.39,0.48,0.5,0.46,0.19,0.66,0.09,0.14,0.56
35,0.09,0.43,0.43,0.63,0.0,0.06,0.4,0.42,0.51,0.59,0.65,0.32,0.39,0.03,0.03,0.12
