paraphrase idx,t0_3b_acc,t0pp_acc,falcon-7b-instruct_acc,mpt-7b-instruct_acc,alpaca-7b_acc,alpaca-13b_acc,flan-t5-small_acc,flan-t5-base_acc,flan-t5-large_acc,flan-t5-xl_acc,flan-t5-xxl_acc,airoboros-13b_acc,nous-hermes-13b_acc,ultralm-13b_acc,vicuna-13b_acc,minotaur-15b_acc
1,0.0,0.07692307692307693,0.8461538461538461,0.0,0.0,0.7307692307692307,0.03846153846153846,0.03846153846153846,0.3846153846153846,0.3461538461538461,0.9230769230769231,0.0,0.1923076923076923,0.3461538461538461,0.5769230769230769,0.1538461538461539
2,0.0,0.0,0.7692307692307693,0.0,0.0,0.3846153846153846,0.2692307692307692,0.0,0.5769230769230769,0.6923076923076923,0.8846153846153846,0.0,0.4615384615384616,0.3076923076923077,0.1923076923076923,0.0
3,0.0,0.0,0.9615384615384616,0.03846153846153846,0.0,0.8076923076923077,0.07692307692307693,0.0,0.4230769230769231,0.6538461538461539,0.6538461538461539,0.0,0.7692307692307693,0.1538461538461539,0.4230769230769231,0.07692307692307693
4,0.0,0.07692307692307693,0.03846153846153846,0.0,0.0,0.0,0.0,0.0,0.4230769230769231,0.3461538461538461,0.8076923076923077,0.0,0.0,0.0,0.0,0.0
5,0.0,0.07692307692307693,0.03846153846153846,0.0,0.0,0.1153846153846154,0.0,0.0,0.4230769230769231,0.3846153846153846,0.6923076923076923,0.0,0.03846153846153846,0.2307692307692308,0.03846153846153846,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2692307692307692,0.3461538461538461,0.9615384615384616,0.0,0.0,0.07692307692307693,0.3461538461538461,0.0
7,0.0,0.1153846153846154,0.03846153846153846,0.0,0.0,0.1153846153846154,0.0,0.0,0.3461538461538461,0.5769230769230769,0.6538461538461539,0.0,0.07692307692307693,0.3846153846153846,0.1538461538461539,0.0
8,0.0,0.03846153846153846,0.0,0.0,0.0,0.3846153846153846,0.0,0.0,0.1538461538461539,0.3846153846153846,0.8076923076923077,0.0,0.03846153846153846,0.07692307692307693,0.0,0.0
9,0.0,0.1153846153846154,0.1153846153846154,0.0,0.0,0.03846153846153846,0.0,0.07692307692307693,0.3461538461538461,0.6923076923076923,0.8076923076923077,0.0,0.0,0.0,0.0,0.0
10,0.0,0.03846153846153846,0.0,0.0,0.0,0.0,0.1923076923076923,0.0,0.1923076923076923,0.1538461538461539,0.6153846153846154,0.0,0.0,0.0,0.0,0.0
11,0.0,0.03846153846153846,0.3076923076923077,0.0,0.0,0.07692307692307693,0.1153846153846154,0.0,0.4230769230769231,0.5,0.7307692307692307,0.0,0.4230769230769231,0.3461538461538461,0.1538461538461539,0.0
12,0.2692307692307692,0.2307692307692308,0.3076923076923077,0.03846153846153846,0.0,0.2307692307692308,0.1153846153846154,0.03846153846153846,0.4615384615384616,0.5,0.8076923076923077,0.03846153846153846,0.7307692307692307,0.4230769230769231,0.2692307692307692,0.0
13,0.0,0.0,0.07692307692307693,0.0,0.0,0.2692307692307692,0.0,0.03846153846153846,0.4615384615384616,0.2307692307692308,0.6923076923076923,0.03846153846153846,0.07692307692307693,0.3846153846153846,0.1923076923076923,0.03846153846153846
14,0.0,0.03846153846153846,0.2307692307692308,0.0,0.0,0.2692307692307692,0.0,0.0,0.6153846153846154,0.1923076923076923,0.6923076923076923,0.0,0.4615384615384616,0.5,0.1153846153846154,0.0
